Stop,Method,k=20,k=15,k=10,k=5,k=3,k=1
8,LGBM,81,77,78,85,93,97
16,LGBM,96,96,96,93,93,99
32,LGBM,95,94,92,85,83,100
64,LGBM,97,98,99,100,100,100
128,LGBM,100,100,100,100,100,100
256,LGBM,98,98,97,97,98,100
8,LR,23,15,14,1,12,-66
16,LR,94,94,94,94,93,90
32,LR,95,95,95,94,93,92
64,LR,96,96,96,96,96,97
128,LR,95,95,95,94,94,92
256,LR,95,95,96,96,95,98
8,BL,75,80,77,67,81,47
16,BL,93,92,90,87,91,98
32,BL,92,90,91,86,78,66
64,BL,100,100,100,100,99,98
128,BL,100,100,100,100,100,100
256,BL,100,100,100,100,100,100
