Stop,Method,k=20,k=15,k=10,k=5,k=3,k=1
8,LGBM,1,1,1,3,0,-2
16,LGBM,17,17,18,18,14,14
32,LGBM,8,8,7,6,3,13
64,LGBM,23,23,24,26,26,29
128,LGBM,18,18,15,12,9,2
256,LGBM,18,19,20,19,22,21
8,LR,-29,-31,-28,-28,-31,-20
16,LR,-11,-11,-15,-20,-16,-21
32,LR,-17,-20,-18,-15,-11,-21
64,LR,-12,-12,-10,-12,-11,-9
128,LR,-17,-17,-16,-22,-24,-36
256,LR,-7,-8,-13,-13,-15,-11
8,BL,11,11,12,16,15,7
16,BL,19,19,20,20,21,19
32,BL,33,33,33,35,38,40
64,BL,32,32,31,31,33,36
128,BL,37,37,36,36,36,40
256,BL,37,38,38,39,40,46
