BL_time, 0.047
shap_time, 0.04
rlf_time, 12.5
Number of features selected by BL, 5
linear time, 2.375
rf time, 6.975
svr time, 5.286
ann time, 6.752
lgbm time, 3.251
bl time, 2.806
#
 0,                  ann,SHAP, 76.00, 36.00, --                  | *    ------------ 
#
 1,                    ann,BL, 81.00, 17.00,   ------------------|-    *       ---   
#
 2,                   ann,RLF, 82.00, 16.00, --------------------|----- *         -- 
#
 3,                    svr,BL, 96.00,  4.00,                     |       ------   *  
 3,                   svr,RLF, 96.00,  4.00,                     |       ------   *  
#
 4,               linear,SHAP, 97.00,  2.00,                     |                *  
#
 5,                 linear,BL, 99.00,  2.00,                     |                  *
 5,                linear,RLF, 99.00,  2.00,                     |                  *
 5,                  svr,SHAP, 99.00,  3.00,                     |               -  *
 5,                     bl,BL, 99.00,  1.00,                     |                  *
 5,                   bl,SHAP, 99.00,  1.00,                     |                --*
 5,                    bl,RLF, 99.00,  4.00,                     |               -  *
#
 6,                     rf,BL, 100.00,  0.00,                     |                  *
 6,                   rf,SHAP, 100.00,  0.00,                     |                  *
 6,                    rf,RLF, 100.00,  0.00,                     |                  *
 6,                   lgbm,BL, 100.00,  0.00,                     |                --*
 6,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 6,                  lgbm,RLF, 100.00,  0.00,                     |                --*
