BL_time, 0.036
shap_time, 0.019
rlf_time, 0.302
Number of features selected by BL, 3
linear time, 0.244
rf time, 1.52
svr time, 0.229
ann time, 3.305
lgbm time, 0.749
bl time, 0.578
#
 0,                    svr,BL, 15.00, 16.00, --------------------|--    *--          
 0,                  svr,SHAP, 15.00, 16.00, --------------------|--    *--          
 0,                   svr,RLF, 15.00, 16.00, --------------------|--    *--          
#
 1,                     bl,BL, 18.00,  8.00,   ------------------|------ * --        
 1,                   bl,SHAP, 18.00,  8.00,   ------------------|------ * --        
 1,                    bl,RLF, 18.00,  8.00,   ------------------|------ * --        
#
 2,                   lgbm,BL, 35.00, 26.00,                     |   ---       * --  
 2,                 lgbm,SHAP, 35.00, 26.00,                     |   ---       * --  
 2,                  lgbm,RLF, 35.00, 26.00,                     |   ---       * --  
#
 3,                     rf,BL, 39.00, 14.00,                     |  ----------- *    
 3,                   rf,SHAP, 39.00, 14.00,                     |  ----------- *    
 3,                    rf,RLF, 39.00, 14.00,                     |  ----------- *    
 3,                    ann,BL, -55.00,  5.00,   - *---------------|-----              
 3,                  ann,SHAP, -55.00, 69.00,   - *               |     ----          
 3,                   ann,RLF, -55.00,  4.00,   - *---------------|--------           
 3,                 linear,BL, -57.00, 67.00,    *                |    --             
 3,               linear,SHAP, -57.00, 67.00,    *                |    --             
 3,                linear,RLF, -57.00, 67.00,    *                |    --             
