BL_time, 0.074
shap_time, 0.03
rlf_time, 5.39
Number of features selected by BL, 6
linear time, 0.937
rf time, 2.421
svr time, 1.001
ann time, 4.553
lgbm time, 1.649
bl time, 1.681
#
 0,                   bl,SHAP, 38.00,  5.00, ---------------- *--|----------------   
 0,                    bl,RLF, 38.00, 30.00, ------           *  |                   
#
 1,                     bl,BL, 41.00, 43.00,                   * |              --   
#
 2,                 linear,BL, 88.00,  2.00,                     |               -*  
 2,               linear,SHAP, 88.00,  3.00,                     |                *  
 2,                     rf,BL, 88.00,  1.00,                     |                *  
 2,                    svr,BL, 88.00,  4.00,                     |               -*  
 2,                  svr,SHAP, 88.00,  3.00,                     |                *  
 2,                   svr,RLF, 88.00,  3.00,                     |                *  
#
 3,                linear,RLF, 89.00,  1.00,                     |                *  
 3,                   rf,SHAP, 89.00,  1.00,                     |               -*  
 3,                    rf,RLF, 89.00,  2.00,                     |               -*  
 3,                    ann,BL, 89.00,  1.00,                     |              --*  
 3,                  ann,SHAP, 89.00,  3.00,                     |                *- 
 3,                   ann,RLF, 89.00,  0.00,                     |                *  
 3,                   lgbm,BL, 89.00,  1.00,                     |                *  
 3,                 lgbm,SHAP, 89.00,  2.00,                     |                *  
 3,                  lgbm,RLF, 89.00,  0.00,                     |                *  
