BL_time, 0.028
shap_time, 0.028
rlf_time, 2.482
Number of features selected by BL, 3
linear time, 0.714
rf time, 3.769
svr time, 0.831
ann time, 4.227
lgbm time, 1.434
bl time, 1.163
#
 0,                  ann,SHAP, 10.00,  6.00, ------- * ----------|-------------      
 0,                 linear,BL, 13.00,  5.00, --------  *---      |                   
 0,               linear,SHAP, 13.00,  5.00, --------  *---      |                   
 0,                linear,RLF, 13.00,  5.00, --------  *---      |                   
 0,                   ann,RLF, 14.00, 10.00,   -----   * --------|                   
#
 1,                    ann,BL, 20.00, 20.00,        -     *   ---|                   
#
 2,                    svr,BL, 60.00,  9.00,                     |      ---*   ----- 
 2,                  svr,SHAP, 60.00,  9.00,                     |      ---*   ----- 
 2,                   svr,RLF, 60.00,  9.00,                     |      ---*   ----- 
#
 3,                     bl,BL, 61.00,  4.00,       --------------|--------- *---     
 3,                   bl,SHAP, 61.00,  4.00,       --------------|--------- *---     
 3,                    bl,RLF, 61.00,  4.00,       --------------|--------- *---     
#
 4,                   lgbm,BL, 64.00,  5.00,                     |           *--     
 4,                 lgbm,SHAP, 64.00,  5.00,                     |           *--     
 4,                  lgbm,RLF, 64.00,  5.00,                     |           *--     
#
 5,                     rf,BL, 67.00,  2.00,                     |          --*--    
 5,                   rf,SHAP, 67.00,  2.00,                     |          --*--    
 5,                    rf,RLF, 67.00,  2.00,                     |          --*--    
