BL_time, 0.044
shap_time, 0.03
rlf_time, 5.845
Number of features selected by BL, 6
linear time, 0.811
rf time, 2.121
svr time, 0.936
ann time, 4.325
lgbm time, 1.581
bl time, 1.043
#
 0,                   bl,SHAP,  7.00, 42.00, ------    *         |-----------------  
 0,                    bl,RLF, 11.00, 23.00, ------      * ------|-----------------  
#
 1,                     bl,BL, 84.00, 40.00,       --------------|---             *- 
#
 2,                 linear,BL, 88.00,  2.00,                     |                -* 
 2,               linear,SHAP, 88.00,  3.00,                     |                 * 
 2,                     rf,BL, 88.00,  1.00,                     |                 * 
 2,                    svr,BL, 88.00,  4.00,                     |                -* 
 2,                  svr,SHAP, 88.00,  3.00,                     |                 * 
 2,                   svr,RLF, 88.00,  3.00,                     |                 * 
 2,                linear,RLF, 89.00,  1.00,                     |                 * 
 2,                   rf,SHAP, 89.00,  1.00,                     |                -* 
 2,                    rf,RLF, 89.00,  2.00,                     |                -* 
 2,                    ann,BL, 89.00,  3.00,                     |                -* 
 2,                  ann,SHAP, 89.00,  1.00,                     |                 * 
 2,                   ann,RLF, 89.00,  0.00,                     |                -* 
 2,                   lgbm,BL, 89.00,  1.00,                     |                 * 
 2,                 lgbm,SHAP, 89.00,  2.00,                     |                 * 
 2,                  lgbm,RLF, 89.00,  0.00,                     |                 * 
