BL_time, 0.025
shap_time, 0.019
rlf_time, 0.303
Number of features selected by BL, 3
linear time, 0.217
rf time, 1.523
svr time, 0.237
ann time, 3.251
lgbm time, 0.733
bl time, 0.559
#
 0,                   ann,RLF, -3.00, 15.00,           --  *-----|-----------        
 0,                 linear,BL,  5.00, 33.00,     --------    *   |-----------        
 0,               linear,SHAP,  5.00, 33.00,     --------    *   |-----------        
 0,                linear,RLF,  5.00, 33.00,     --------    *   |-----------        
 0,                  ann,SHAP, -14.00,  9.00, ----------  *       |                   
 0,                    ann,BL, 15.00, 14.00,             ----   *|-----------        
 0,                    svr,BL, -39.00, 138.00,   --  *             |                 - 
 0,                  svr,SHAP, -39.00, 138.00,   --  *             |                 - 
 0,                   svr,RLF, -39.00, 138.00,   --  *             |                 - 
#
 1,                     bl,BL, 74.00, 25.00,                     |           -*      
 1,                   bl,SHAP, 74.00, 25.00,                     |           -*      
 1,                    bl,RLF, 74.00, 25.00,                     |           -*      
#
 2,                   lgbm,BL, 95.00,  0.00,                     |                 -*
 2,                 lgbm,SHAP, 95.00,  0.00,                     |                 -*
 2,                  lgbm,RLF, 95.00,  0.00,                     |                 -*
#
 3,                     rf,BL, 96.00,  1.00,                     |                  *
 3,                   rf,SHAP, 96.00,  1.00,                     |                  *
 3,                    rf,RLF, 96.00,  1.00,                     |                  *
