BL_time, 0.04
shap_time, 0.028
rlf_time, 0.932
Number of features selected by BL, 3
linear time, 0.263
rf time, 1.886
svr time, 0.241
ann time, 3.55
lgbm time, 0.929
bl time, 0.527
#
 0,                    ann,BL, -1.00, 25.00, --------------------|-   *-------       
 0,                  ann,SHAP,  2.00,  9.00,                     |--- *---------     
#
 1,                   ann,RLF,  3.00,  9.00,                     |--- *---------     
 1,                 linear,BL, -6.00, 21.00,                     |-- *               
 1,               linear,SHAP, -6.00, 21.00,                     |-- *               
 1,                linear,RLF, -6.00, 21.00,                     |-- *               
 1,                    svr,BL, -30.00, 132.00,                   - |*                  
 1,                  svr,SHAP, -30.00, 132.00,                   - |*                  
 1,                   svr,RLF, -30.00, 132.00,                   - |*                  
#
 2,                     bl,BL, 67.00, 10.00,                     |------------- *--- 
 2,                   bl,SHAP, 67.00, 10.00,                     |------------- *--- 
 2,                    bl,RLF, 67.00, 94.00,                     |              *--- 
#
 3,                   lgbm,BL, 94.00,  1.00,                     |                  *
 3,                 lgbm,SHAP, 94.00,  1.00,                     |                  *
 3,                  lgbm,RLF, 94.00,  1.00,                     |                  *
#
 4,                     rf,BL, 96.00,  1.00,                     |                  *
 4,                   rf,SHAP, 96.00,  1.00,                     |                  *
 4,                    rf,RLF, 96.00,  1.00,                     |                  *
