BL_time, 0.026
shap_time, 0.019
rlf_time, 0.281
Number of features selected by BL, 3
linear time, 0.243
rf time, 1.532
svr time, 0.245
ann time, 3.23
lgbm time, 0.736
bl time, 0.579
#
 0,                    svr,BL, -1.00, 11.00,                     |------ * -         
 0,                  svr,SHAP, -1.00, 11.00,                     |------ * -         
 0,                   svr,RLF, -1.00, 11.00,                     |------ * -         
 0,                   lgbm,BL, -1.00, 28.00,                     |--     *  -------- 
 0,                 lgbm,SHAP, -1.00, 28.00,                     |--     *  -------- 
 0,                  lgbm,RLF, -1.00, 28.00,                     |--     *  -------- 
 0,                   ann,RLF, -2.00, 71.00,                     |      *-           
 0,                     bl,BL,  2.00, 37.00,                --   |        *-         
 0,                   bl,SHAP,  2.00, 37.00,                --   |        *-         
 0,                    bl,RLF,  2.00, 37.00,                --   |        *-         
 0,                     rf,BL, 13.00, 24.00,                     |          -*       
 0,                   rf,SHAP, 13.00, 24.00,                     |          -*       
 0,                    rf,RLF, 13.00, 24.00,                     |          -*       
 0,                 linear,BL, -28.00, 71.00,      --            *|                   
 0,               linear,SHAP, -28.00, 71.00,      --            *|                   
 0,                linear,RLF, -28.00, 71.00,      --            *|                   
 0,                  ann,SHAP, -63.00, 73.00, ------- *           |        ----       
 0,                    ann,BL, -66.00, 60.00,         *           |    ----           
