BL_time, 0.067
shap_time, 0.045
rlf_time, 24.822
Number of features selected by BL, 8
linear time, 2.588
rf time, 5.044
svr time, 2.986
ann time, 6.739
lgbm time, 3.232
bl time, 2.652
#
 0,                    bl,RLF, 15.00, 88.00, -                   |  *-------         
#
 1,                   bl,SHAP, 40.00, 32.00,  -------------------|--       *-------  
#
 2,                     bl,BL, 54.00, 24.00,                    -|----------- *      
 2,                   svr,RLF, 57.00,  3.00,                     |           - *     
#
 3,                linear,RLF, 70.00,  1.00,                     |             ---*  
 3,                 linear,BL, 71.00, 19.00,                     |                *  
 3,               linear,SHAP, 71.00, 10.00,                     |                *  
#
 4,                  ann,SHAP, 72.00,  3.00,                     |            ---- * 
 4,                 lgbm,SHAP, 72.00,  3.00,                     |                -* 
#
 5,                   rf,SHAP, 73.00,  1.00,                     |                -* 
 5,                  svr,SHAP, 73.00,  2.00,                     |                 * 
 5,                   lgbm,BL, 73.00,  3.00,                     |                 * 
#
 6,                    rf,RLF, 74.00,  3.00,                     |                 * 
 6,                    ann,BL, 74.00,  2.00,                     |                -* 
 6,                   ann,RLF, 74.00,  3.00,                     |                 * 
 6,                  lgbm,RLF, 74.00,  0.00,                     |                 * 
#
 7,                     rf,BL, 75.00,  1.00,                     |                 * 
 7,                    svr,BL, 75.00,  2.00,                     |                 * 
