BL_time, 0.028
shap_time, 0.024
rlf_time, 2.115
Number of features selected by BL, 3
linear time, 0.691
rf time, 3.399
svr time, 0.735
ann time, 4.221
lgbm time, 1.35
bl time, 0.96
#
 0,                     bl,BL, 31.00, 17.00, -------------    *  |--------           
 0,                   bl,SHAP, 31.00, 17.00, -------------    *  |--------           
 0,                    bl,RLF, 31.00, 17.00, -------------    *  |--------           
#
 1,                   ann,RLF, 48.00, 16.00,                   --|--- *      ------- 
 1,                    ann,BL, 52.00,  7.00,                     |     *------------ 
#
 2,                    svr,BL, 59.00,  8.00,                     |         *         
 2,                  svr,SHAP, 59.00,  8.00,                     |         *         
 2,                   svr,RLF, 59.00,  8.00,                     |         *         
#
 3,                 linear,BL, 60.00,  6.00,                     |     --  *-----    
 3,               linear,SHAP, 60.00,  6.00,                     |     --  *-----    
 3,                linear,RLF, 60.00,  6.00,                     |     --  *-----    
#
 4,                  ann,SHAP, 64.00, 25.00,                     |     -     *       
#
 5,                     rf,BL, 76.00,  4.00,                     |           ------* 
 5,                   rf,SHAP, 76.00,  4.00,                     |           ------* 
 5,                    rf,RLF, 76.00,  4.00,                     |           ------* 
#
 6,                   lgbm,BL, 79.00,  3.00,                     |                - *
 6,                 lgbm,SHAP, 79.00,  3.00,                     |                - *
 6,                  lgbm,RLF, 79.00,  3.00,                     |                - *
