BL Labeling Budget, 150
---------------------
BL time,	0.413
anova time,	0.001
shap time,	15.11
rlf time,	12.594
---------------------
Number of features selected by BL, 5
BL features,	Sorters, Max_spout, Emit_freq, Chunk_size, Spouts
shap features,	Max_spout, Spouts, Sorters, Message_size, Chunk_size
anova features,	Max_spout, Spouts, Sorters, Message_size, Chunk_size
rlf features,	Max_spout, Spouts, Sorters, Emit_freq, Chunk_size
---------------------
linear time, 15.847
rf time, 49.476
svr time, 39.785
ann time, 43.125
lgbm time, 19.402
#
 0,                    ann,BL, 78.00, 22.00,              ----   *               --- 
 0,                 ann,anova, 78.00, 16.00,       ------------- *            ------ 
 0,                   ann,RLF, 91.00, 18.00,                   --|---        *       
 0,                   ann,all, 92.00,  4.00,                     |---------   *----  
#
 1,                  svr,SHAP, 94.00,  0.00,                     |             *---- 
 1,                 svr,anova, 94.00,  0.00,                     |             *---- 
 1,               linear,SHAP, 96.00,  5.00,                     |            -- *   
 1,              linear,anova, 96.00,  5.00,                     |            -- *   
 1,                  ann,SHAP, 97.00,  8.00,           ----------|----------      *- 
#
 2,                linear,all, 99.00,  5.00,                     |            --    *
 2,                     rf,BL, 99.00,  6.00,                     |         ----     *
 2,                    rf,RLF, 99.00,  6.00,                     |         ----     *
 2,                    svr,BL, 99.00,  1.00,                     |             ---- *
 2,                   svr,RLF, 99.00,  1.00,                     |             ---- *
#
 3,                 linear,BL, 100.00,  0.00,                     |                  *
 3,                linear,RLF, 100.00,  0.00,                     |                  *
 3,                   rf,SHAP, 100.00,  0.00,                     |                  *
 3,                    rf,all, 100.00,  0.00,                     |                  *
 3,                  rf,anova, 100.00,  0.00,                     |                  *
 3,                   svr,all, 100.00,  0.00,                     |             -----*
 3,                   lgbm,BL, 100.00,  2.00,                     |             ---- *
 3,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 3,                  lgbm,RLF, 100.00,  2.00,                     |             ---- *
 3,                  lgbm,all, 100.00,  0.00,                     |                  *
 3,                lgbm,anova, 100.00,  0.00,                     |                  *
