BL Labeling Budget, 150
---------------------
BL time,	0.216
anova time,	0.002
shap time,	11.874
rlf time,	12.631
---------------------
Number of features selected by BL, 5
BL features,	Max_spout, Sorters, Spouts, Chunk_size, Emit_freq
shap features,	Sorters, Max_spout, Message_size, Spouts, Chunk_size
anova features,	Sorters, Max_spout, Message_size, Emit_freq, Chunk_size
rlf features,	Sorters, Spouts, Max_spout, Emit_freq, Chunk_size
---------------------
linear time, 15.617
rf time, 50.973
svr time, 44.437
ann time, 47.33
lgbm time, 19.202
#
 0,                    svr,BL, 96.00,  0.00,                     |         *-        
 0,                   svr,RLF, 96.00,  0.00,                     |         *-        
#
 1,                 svr,anova, 97.00,  1.00,                     |           *----   
#
 2,                 linear,BL, 99.00,  1.00,                     |                *  
 2,               linear,SHAP, 99.00,  1.00,                     |                *  
 2,                linear,RLF, 99.00,  1.00,                     |                *  
 2,                linear,all, 99.00,  1.00,                     |                *  
 2,                  rf,anova, 99.00,  0.00,                     |                *  
 2,                  svr,SHAP, 99.00,  0.00,                     |                *  
 2,                   svr,all, 99.00,  0.00,            ---------|----------------*  
#
 3,              linear,anova, 100.00,  0.00,                     |                  *
 3,                     rf,BL, 100.00,  0.00,                     |                  *
 3,                   rf,SHAP, 100.00,  0.00,                     |                  *
 3,                    rf,RLF, 100.00,  0.00,                     |                  *
 3,                    rf,all, 100.00,  0.00,                     |                  *
 3,                    ann,BL, 100.00,  0.00,                     |                --*
 3,                  ann,SHAP, 100.00,  0.00,                     |                --*
 3,                   ann,RLF, 100.00,  0.00,                     |           -------*
 3,                   ann,all, 100.00,  0.00,                     |                --*
 3,                 ann,anova, 100.00,  0.00,                     |                  *
 3,                   lgbm,BL, 100.00,  0.00,                     |                  *
 3,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 3,                  lgbm,RLF, 100.00,  0.00,                     |                  *
 3,                  lgbm,all, 100.00,  0.00,                     |                  *
 3,                lgbm,anova, 100.00,  0.00,                     |                  *
