BL Labeling Budget, 75
---------------------
BL time,	0.056
anova time,	0.001
shap time,	11.071
rlf time,	0.292
---------------------
Number of features selected by BL, 2
BL features,	Max_spout, Counters
shap features,	Max_spout, Counters
anova features,	Max_spout, Counters
rlf features,	Spliters, Counters
---------------------
linear time, 0.98
rf time, 9.675
svr time, 1.004
ann time, 15.725
lgbm time, 2.677
#
 0,                   svr,RLF, 78.00, 23.00,                     |-  *               
 0,                  lgbm,RLF, 80.00, 26.00,                     |     *             
 0,                    rf,RLF, 93.00, 21.00,                     | --          *     
#
 1,                linear,RLF, 94.00,  1.00,                     |  ------------*--  
 1,                   ann,RLF, 94.00, 16.00,                     |----          *--  
#
 2,                linear,all, 95.00,  2.00,                     |              -*-  
 2,                  ann,SHAP, 97.00,  4.00,                     |                *  
 2,                   ann,all, 97.00,  4.00,                     |             -  *  
 2,                 ann,anova, 97.00,  4.00,                     |    ----------  *  
 2,                    ann,BL, 98.00,  5.00,                     |                 * 
#
 3,                 linear,BL, 99.00,  2.00,                     |              -- * 
 3,               linear,SHAP, 99.00,  2.00,                     |              -- * 
 3,              linear,anova, 99.00,  2.00,                     |              -- * 
 3,                     rf,BL, 99.00,  0.00,                     |                 * 
 3,                   rf,SHAP, 99.00,  0.00,                     |                 * 
 3,                    rf,all, 99.00,  0.00,                     |                 * 
 3,                  rf,anova, 99.00,  0.00,                     |                 * 
 3,                    svr,BL, 99.00,  0.00,                     |                 * 
 3,                  svr,SHAP, 99.00,  0.00,                     |                 * 
 3,                   svr,all, 99.00,  0.00,                     |                 * 
 3,                 svr,anova, 99.00,  0.00,                     |                 * 
 3,                   lgbm,BL, 99.00,  0.00,                     |                 * 
 3,                 lgbm,SHAP, 99.00,  0.00,                     |                 * 
 3,                  lgbm,all, 99.00,  0.00,                     |                 * 
 3,                lgbm,anova, 99.00,  0.00,                     |                 * 
