BL Labeling Budget, 150
---------------------
BL time,	0.216
anova time,	0.002
shap time,	14.268
rlf time,	9.238
---------------------
Number of features selected by BL, 4
BL features,	Max_spout, Counters, Spout_wait, Netty_min_wait
shap features,	Max_spout, Counters, Spout_wait, Spouts
anova features,	Counters, Max_spout, Spout_wait, Spliters
rlf features,	Max_spout, Spouts, Counters, Spliters
---------------------
linear time, 9.83
rf time, 31.092
svr time, 18.69
ann time, 68.059
lgbm time, 12.866
#
 0,                 linear,BL, 100.00,  0.00,                     |                  *
 0,               linear,SHAP, 100.00,  0.00,                     |                  *
 0,                linear,RLF, 100.00,  1.00,                     |            ------*
 0,                linear,all, 100.00,  0.00,                     |                  *
 0,              linear,anova, 100.00,  0.00,                     |                  *
 0,                     rf,BL, 100.00,  0.00,                     |                  *
 0,                   rf,SHAP, 100.00,  0.00,                     |                  *
 0,                    rf,RLF, 100.00,  0.00,                     |            ------*
 0,                    rf,all, 100.00,  0.00,                     |                  *
 0,                  rf,anova, 100.00,  0.00,                     |                  *
 0,                    svr,BL, 100.00,  0.00,                     |                  *
 0,                  svr,SHAP, 100.00,  0.00,                     |                  *
 0,                   svr,RLF, 100.00,  0.00,                     |            ------*
 0,                   svr,all, 100.00,  0.00,                     |                  *
 0,                 svr,anova, 100.00,  0.00,                     |                  *
 0,                    ann,BL, 100.00,  0.00,                     |                  *
 0,                  ann,SHAP, 100.00,  0.00,                     |                  *
 0,                   ann,RLF, 100.00,  0.00,                     |            ------*
 0,                   ann,all, 100.00,  0.00,                     |                  *
 0,                 ann,anova, 100.00,  0.00,                     |                  *
 0,                   lgbm,BL, 100.00,  0.00,                     |                  *
 0,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 0,                  lgbm,RLF, 100.00,  8.00,                     |                  *
 0,                  lgbm,all, 100.00,  0.00,                     |                  *
 0,                lgbm,anova, 100.00,  0.00,                     |                  *
