BL Labeling Budget, 150
---------------------
BL time,	0.191
anova time,	0.001
shap time,	10.458
rlf time,	2.792
---------------------
Number of features selected by BL, 5
BL features,	Count, Split, Spout, Buffer_size, Heap
shap features,	Count, Spout, Split, Buffer_size, Heap
anova features,	Count, Spout, Split, Heap, Buffer_size
rlf features,	Count, Split, Spout, Buffer_size, Heap
---------------------
linear time, 4.274
rf time, 20.95
svr time, 7.386
ann time, 20.722
lgbm time, 6.431
#
 0,                    svr,BL, 40.00, 35.00,      -------  *     |     ---------     
 0,                  svr,SHAP, 40.00, 35.00,      -------  *     |     ---------     
 0,                   svr,RLF, 40.00, 35.00,      -------  *     |     ---------     
 0,                   svr,all, 40.00, 35.00,      -------  *     |     ---------     
 0,                 svr,anova, 40.00, 35.00,      -------  *     |     ---------     
#
 1,                 linear,BL, 98.00,  1.00,                     |               --* 
 1,               linear,SHAP, 98.00,  1.00,                     |               --* 
 1,                linear,RLF, 98.00,  1.00,                     |               --* 
 1,                linear,all, 98.00,  1.00,                     |               --* 
 1,              linear,anova, 98.00,  1.00,                     |               --* 
 1,                    ann,BL, 98.00,  1.00,                     |              ---* 
 1,                  ann,SHAP, 98.00,  4.00,                     |             --- * 
 1,                   ann,RLF, 98.00,  1.00,                     |            -----* 
 1,                   ann,all, 98.00,  3.00,                     |             --- * 
 1,                 ann,anova, 98.00,  1.00,                     |              ---* 
#
 2,                     rf,BL, 99.00,  0.00,                     |                 -*
 2,                   rf,SHAP, 99.00,  0.00,                     |                 -*
 2,                    rf,RLF, 99.00,  0.00,                     |                 -*
 2,                    rf,all, 99.00,  0.00,                     |                 -*
 2,                  rf,anova, 99.00,  0.00,                     |                 -*
 2,                   lgbm,BL, 99.00,  0.00,                     |                --*
 2,                 lgbm,SHAP, 99.00,  0.00,                     |                --*
 2,                  lgbm,RLF, 99.00,  0.00,                     |                --*
 2,                  lgbm,all, 99.00,  0.00,                     |                --*
 2,                lgbm,anova, 99.00,  0.00,                     |                --*
