BL Labeling Budget, 80
---------------------
BL time,	0.058
anova time,	0.001
shap time,	10.899
rlf time,	0.317
---------------------
Number of features selected by BL, 2
BL features,	B, A
shap features,	A, B
anova features,	A, B
rlf features,	A, B
---------------------
linear time, 1.097
rf time, 10.277
svr time, 1.03
ann time, 13.314
lgbm time, 2.846
#
 0,                     rf,BL, 74.00, 22.00,       --      *    -|-----------        
 0,                   rf,SHAP, 74.00, 22.00,       --      *    -|-----------        
 0,                    rf,RLF, 74.00, 22.00,       --      *    -|-----------        
 0,                    rf,all, 74.00, 22.00,       --      *    -|-----------        
 0,                  rf,anova, 74.00, 22.00,       --      *    -|-----------        
#
 1,                    svr,BL, 77.00, 18.00,         --     *   -|-----------        
 1,                  svr,SHAP, 77.00, 18.00,         --     *   -|-----------        
 1,                   svr,RLF, 77.00, 18.00,         --     *   -|-----------        
 1,                   svr,all, 77.00, 18.00,         --     *   -|-----------        
 1,                 svr,anova, 77.00, 18.00,         --     *   -|-----------        
#
 2,                 linear,BL, 84.00, 23.00,   --------         *|-----------        
 2,               linear,SHAP, 84.00, 23.00,   --------         *|-----------        
 2,                linear,RLF, 84.00, 23.00,   --------         *|-----------        
 2,                linear,all, 84.00, 23.00,   --------         *|-----------        
 2,              linear,anova, 84.00, 23.00,   --------         *|-----------        
 2,                    ann,BL, 84.00, 15.00,        -------     *|-----------        
 2,                  ann,SHAP, 84.00, 15.00,        -------     *|-----------        
 2,                   ann,RLF, 84.00, 15.00,        -------     *|-----------        
 2,                   ann,all, 84.00, 15.00,        -------     *|-----------        
 2,                 ann,anova, 84.00, 15.00,        -------     *|-----------        
 2,                   lgbm,BL, 84.00,  7.00,         -------    *|-----------        
 2,                 lgbm,SHAP, 84.00,  7.00,         -------    *|-----------        
 2,                  lgbm,RLF, 84.00,  7.00,         -------    *|-----------        
 2,                  lgbm,all, 84.00,  7.00,         -------    *|-----------        
 2,                lgbm,anova, 84.00,  7.00,         -------    *|-----------        
