BL time,	0.671
anova time,	0.001
shap time,	11.108
rlf time,	0.307
---------------------
Number of features selected by BL, 2
BL features,	Counters, Max_spout
shap features,	Max_spout, Counters
anova features,	Max_spout, Counters
rlf features,	Spliters, Counters
---------------------
linear time, 0.933
rf time, 9.56
svr time, 0.963
ann time, 13.558
lgbm time, 2.658
bl time, 4.022
asIs time, 0.007
#
 0,                      asIs,  3.00, 41.00,           ----      *  ---------------  
#
 1,                   svr,RLF, 85.00, 20.00,                     |               *   
 1,                    rf,RLF, 94.00, 17.00,                     |                 * 
 1,                  lgbm,RLF, 94.00, 13.00,                     |              -- * 
 1,                linear,RLF, 95.00,  1.00,                     |               --* 
 1,                linear,all, 95.00,  4.00,                     |                 * 
 1,                   ann,RLF, 95.00,  4.00,                     |               --* 
#
 2,                 linear,BL, 99.00,  0.00,                     |                 -*
 2,               linear,SHAP, 99.00,  0.00,                     |                 -*
 2,              linear,anova, 99.00,  0.00,                     |                 -*
 2,                    svr,BL, 99.00,  1.00,                     |                  *
 2,                  svr,SHAP, 99.00,  1.00,                     |                  *
 2,                   svr,all, 99.00,  1.00,                     |                  *
 2,                 svr,anova, 99.00,  1.00,                     |                  *
 2,                    ann,BL, 99.00,  4.00,                     |                - *
 2,                  ann,SHAP, 99.00,  4.00,                     |                  *
 2,                   ann,all, 99.00,  4.00,                     |                - *
 2,                 ann,anova, 99.00,  4.00,                     |                  *
 2,                   lgbm,BL, 99.00,  1.00,                     |                  *
 2,                 lgbm,SHAP, 99.00,  1.00,                     |                  *
 2,                  lgbm,all, 99.00,  1.00,                     |                  *
 2,                lgbm,anova, 99.00,  1.00,                     |                  *
#
 3,                     rf,BL, 100.00,  1.00,                     |                  *
 3,                   rf,SHAP, 100.00,  1.00,                     |                  *
 3,                    rf,all, 100.00,  1.00,                     |                  *
 3,                  rf,anova, 100.00,  1.00,                     |                  *
 3,                     bl,BL, 100.00,  1.00,                     |                  *
 3,                   bl,SHAP, 100.00,  1.00,                     |                  *
 3,                    bl,RLF, 100.00,  1.00,                     |                  *
 3,                    bl,all, 100.00,  1.00,                     |                  *
 3,                  bl,anova, 100.00,  1.00,                     |                  *
