BL time,	1158.942
anova time,	0.198
shap time,	7.657
rlf time,	4159.764
---------------------
Number of features selected by BL, 12
BL features,	o_9_1_1, g_45_5, g_45_8, g_45_3, g_45_6, g_45_1, g_45_7, g_45_4, g_14_9_1, g_45_2, g_14_9_4, g_14_9_5
shap features,	g_45_1, g_45_4, g_45_7, g_45_2, o_9_2_1, g_14_9_6, g_45_3, g_45_5, g_14_9_2, g_45_8, g_14_9_4, g_14_9_7
anova features,	g_45_1, g_45_4, g_45_7, g_45_2, g_45_3, o_9_2_1, g_45_5, g_45_8, o_9_1_1, g_45_6, o_15_3, g_9_6
rlf features,	g_45_1, g_45_4, g_45_2, g_45_7, g_45_3, g_14_9_6, g_14_9_2, g_14_9_4, o_9_2_1, g_14_9_1, g_14_9_7, g_3_15
---------------------
linear time, 1225.95
rf time, 1378.209
svr time, 1232.523
ann time, 1335.139
lgbm time, 1242.215
bl time, 3211.518
asIs time, 0.618
#
 0,                      asIs, 25.00, 40.00,         -------     | * --              
#
 1,                     rf,BL, 60.00, 24.00,                     |         *  --     
#
 2,                    ann,BL, 80.00,  5.00,                     |             *--   
#
 3,                 linear,BL, 81.00,  2.00,                     |             *     
 3,                   lgbm,BL, 81.00,  3.00,                     |             *     
#
 4,                  rf,anova, 89.00, 14.00,                     |            -- *   
 4,                 ann,anova, 90.00, 12.00,                     |            -- *-- 
 4,              linear,anova, 92.00, 18.00,                     |            -   *- 
 4,                  ann,SHAP, 92.00,  9.00,                     |             -  *- 
#
 5,                   rf,SHAP, 93.00,  4.00,                     |               -*- 
 5,                   ann,RLF, 93.00,  7.00,                     |              - *- 
#
 6,                   ann,all, 95.00,  4.00,                     |               -*- 
 6,                    rf,RLF, 96.00,  4.00,                     |                 * 
 6,                    rf,all, 96.00,  3.00,                     |                 * 
 6,                    bl,RLF, 96.00,  3.00,                     |                 * 
 6,               linear,SHAP, 97.00,  9.00,                     |               - * 
 6,                linear,RLF, 97.00,  9.00,                     |               - * 
 6,                linear,all, 97.00,  8.00,                     |                 * 
 6,                    svr,BL, 97.00,  2.00,                     |            -----* 
 6,                  svr,SHAP, 97.00,  2.00,                     |            -----* 
 6,                   svr,RLF, 97.00,  1.00,                     |                -* 
 6,                   svr,all, 97.00,  2.00,                     |                -* 
 6,                 svr,anova, 97.00,  3.00,                     |             --- * 
 6,                 lgbm,SHAP, 97.00,  6.00,                     |                -* 
 6,                  lgbm,RLF, 97.00,  6.00,                     |                -* 
 6,                  lgbm,all, 97.00,  6.00,                     |                -* 
 6,                lgbm,anova, 97.00,  6.00,                     |                -* 
 6,                     bl,BL, 97.00,  2.00,                     |                -* 
 6,                   bl,SHAP, 97.00,  2.00,                     |                -* 
 6,                    bl,all, 97.00,  2.00,                     |                -* 
 6,                  bl,anova, 97.00,  2.00,                     |                -* 
