BL time,	1304.971
anova time,	0.21
shap time,	9.639
rlf time,	6474.862
---------------------
Number of features selected by BL, 11
BL features,	g_15_6_16, g_15_6_19, g_3_27, g_15_6_15, g_15_6_10, g_24_3_6, g_15_6_11, g_15_6_12, g_15_6_14, g_24_3_3, g_24_3_8
shap features,	g_15_6_17, g_15_6_11, g_15_6_13, g_15_6_12, g_24_3_4, g_15_6_14, g_15_6_19, g_15_6_16, g_24_3_6, g_24_3_8, g_24_3_2
anova features,	R, R_3, g_15_6_17, o_34, g_24_3_4, o_38, o_15_3, g_15_6_11, o_15_6, g_15_6_13, o_33
rlf features,	g_15_6_17, g_15_6_11, g_15_6_13, g_15_6_12, g_15_6_14, g_24_3_4, g_24_3_6, g_24_3_8, g_24_3_2, g_24_3_5, o_34
---------------------
linear time, 1381.256
rf time, 1535.619
svr time, 1414.456
ann time, 1498.022
lgbm time, 1402.311
bl time, 3172.036
asIs time, 0.656
#
 0,                      asIs,  9.00, 52.00,   -------      *    | ----------        
#
 1,                 svr,anova, 72.00,  4.00,                     |       -- *----    
#
 2,                  rf,anova, 75.00, 11.00,                     |        -  *--     
#
 3,                lgbm,anova, 77.00, 10.00,                     |        -- * --    
#
 4,              linear,anova, 78.00, 10.00,                     |         -- * --   
 4,                 ann,anova, 78.00, 10.00,                     |       ---  *-     
#
 5,                 linear,BL, 87.00,  1.00,                     |          ----*--- 
 5,                     rf,BL, 92.00, 27.00,                     |       ---     * - 
#
 6,                   rf,SHAP, 93.00,  6.00,                     |              -* - 
 6,                    ann,BL, 93.00,  7.00,                     |            -- *-- 
 6,                   ann,RLF, 93.00,  7.00,                     |              -* - 
 6,                   lgbm,BL, 93.00,  6.00,                     |              -* - 
 6,                  bl,anova, 93.00,  3.00,                     |              -*-- 
#
 7,               linear,SHAP, 95.00,  2.00,                     |                *- 
 7,                linear,RLF, 95.00,  2.00,                     |              - *- 
 7,                linear,all, 95.00,  2.00,                     |                *- 
 7,                    rf,RLF, 95.00,  5.00,                     |                *- 
 7,                    rf,all, 95.00,  5.00,                     |                *- 
 7,                    svr,BL, 95.00,  5.00,                     |                *- 
 7,                  svr,SHAP, 95.00,  5.00,                     |                *- 
 7,                   svr,RLF, 95.00,  5.00,                     |                *- 
 7,                   svr,all, 95.00,  5.00,                     |                *- 
 7,                   ann,all, 95.00, 10.00,                     |              - *  
 7,                 lgbm,SHAP, 95.00,  5.00,                     |                *- 
 7,                  lgbm,RLF, 95.00,  5.00,                     |              - *- 
 7,                  lgbm,all, 95.00,  5.00,                     |                *- 
 7,                     bl,BL, 95.00,  5.00,                     |              - *- 
 7,                   bl,SHAP, 95.00,  5.00,                     |                *- 
 7,                    bl,RLF, 95.00,  5.00,                     |              - *- 
 7,                    bl,all, 95.00,  5.00,                     |              - *- 
 7,                  ann,SHAP, 97.00,  5.00,                     |              - *- 
