BL time,	1.623
anova time,	0.002
shap time,	12.66
rlf time,	37.174
---------------------
Number of features selected by BL, 5
BL features,	Level, ProcessorCount, compression, compressionLzo, compressionGzip
shap features,	ProcessorCount, compression, compressionLzo, compressionZpaq, Level
anova features,	ProcessorCount, compression, compressionBzip2, compressionLzo, compressionZpaq
rlf features,	compression, encryption, compressionBzip2, compressionGzip, compressionLzo
---------------------
linear time, 24.546
rf time, 49.539
svr time, 66.844
ann time, 52.465
lgbm time, 28.24
bl time, 23.358
asIs time, 0.216
#
 0,                      asIs, 31.00, 107.00,            -------  |        *    ----  
#
 1,                    rf,RLF, 85.00,  3.00,                     |                *  
 1,                  svr,SHAP, 85.00,  4.00,                     |                *  
 1,                   svr,RLF, 85.00,  2.00,                     |                *  
 1,                linear,RLF, 86.00,  2.00,                     |                *  
 1,                 svr,anova, 86.00,  4.00,                     |               -*- 
 1,                   ann,RLF, 86.00,  3.00,                     |                *  
 1,                  lgbm,RLF, 86.00,  2.00,                     |                *  
 1,                    bl,RLF, 86.00,  8.00,                     |             -- *- 
#
 2,                 linear,BL, 87.00,  4.00,                     |                *  
 2,               linear,SHAP, 87.00,  4.00,                     |                *  
 2,                linear,all, 87.00,  4.00,                     |                *  
 2,              linear,anova, 87.00,  4.00,                     |               -*  
 2,                    svr,BL, 87.00, 10.00,                     |                *  
 2,                  ann,SHAP, 87.00,  5.00,                     |                *- 
 2,                   ann,all, 87.00, 12.00,                     |                *  
 2,                 ann,anova, 87.00,  3.00,                     |                *- 
#
 3,                    ann,BL, 88.00,  9.00,                     |                 * 
#
 4,                     rf,BL, 96.00,  0.00,                     |                  *
 4,                   svr,all, 96.00,  0.00,                     |                  *
 4,                  bl,anova, 96.00, 10.00,                     |                - *
 4,                   bl,SHAP, 98.00,  4.00,                     |                --*
#
 5,                  rf,anova, 99.00,  1.00,                     |                  *
 5,                   lgbm,BL, 99.00,  3.00,                     |                  *
 5,                 lgbm,SHAP, 99.00,  1.00,                     |                  *
 5,                lgbm,anova, 99.00,  1.00,                     |                  *
 5,                     bl,BL, 99.00,  9.00,                     |                - *
 5,                    bl,all, 99.00,  9.00,                     |                - *
#
 6,                   rf,SHAP, 100.00,  1.00,                     |                  *
 6,                    rf,all, 100.00,  0.00,                     |                  *
 6,                  lgbm,all, 100.00,  0.00,                     |                  *
