BL time,	118.464
anova time,	0.005
shap time,	5.723
rlf time,	112.992
---------------------
Number of features selected by BL, 13
BL features,	KLOC, AEXP, SITE, PCON, RUSE, DATA, TEAM, PCAP, DOCU, RESL, PREC, ACAP, PVOL
shap features,	KLOC, AEXP, TEAM, SITE, PCON, PCAP, DOCU, RUSE, DATA, PVOL, RESL, ACAP, PREC
anova features,	KLOC, AEXP, TEAM, SITE, TOOL, SCED, PCON, PCAP, DOCU, RUSE, DATA, ACAP, RESL
rlf features,	KLOC, AEXP, TEAM, SITE, DATA, AA, ACAP, B, DOCU, ETAT, PCAP, PCON, PMAT
---------------------
linear time, 195.022
rf time, 1587.456
svr time, 348.049
ann time, 244.19
lgbm time, 231.386
bl time, 739.027
asIs time, 0.683
#
 0,                      asIs,  6.00, 36.00,        -----------  *    ---            
#
 1,                   svr,all, 86.00,  4.00,                     |               *   
 1,                   svr,RLF, 87.00,  4.00,                     |               *   
 1,                  ann,SHAP, 88.00,  8.00,                     |              -*-  
#
 2,                   ann,RLF, 91.00,  4.00,                     |              --*  
 2,                   ann,all, 91.00,  6.00,                     |                *  
 2,                 ann,anova, 92.00,  7.00,                     |             -- *  
#
 3,                linear,RLF, 93.00,  6.00,                     |              --*  
 3,                    svr,BL, 93.00,  5.00,                     |                *  
 3,                  svr,SHAP, 93.00,  5.00,                     |                *  
 3,                 svr,anova, 93.00,  3.00,                     |               -*  
 3,                    ann,BL, 93.00,  5.00,                     |              --*  
 3,                     bl,BL, 93.00,  6.00,                     |               -*- 
 3,                   bl,SHAP, 93.00,  7.00,                     |               -*- 
 3,                    bl,RLF, 93.00,  7.00,                     |               -*- 
 3,                    bl,all, 93.00,  6.00,                     |               -*- 
 3,                  bl,anova, 93.00,  7.00,                     |               -*- 
#
 4,                 linear,BL, 94.00,  5.00,                     |               - * 
 4,               linear,SHAP, 94.00,  5.00,                     |               - * 
 4,                linear,all, 94.00,  3.00,                     |               - * 
 4,              linear,anova, 94.00,  5.00,                     |               - * 
#
 5,                     rf,BL, 96.00,  4.00,                     |                 * 
 5,                   rf,SHAP, 96.00,  4.00,                     |                 * 
 5,                    rf,RLF, 96.00,  4.00,                     |                 * 
 5,                    rf,all, 97.00,  5.00,                     |                 * 
 5,                  rf,anova, 97.00,  5.00,                     |                 * 
 5,                   lgbm,BL, 98.00,  4.00,                     |                -* 
 5,                 lgbm,SHAP, 98.00,  4.00,                     |                -* 
 5,                  lgbm,RLF, 98.00,  4.00,                     |                -* 
 5,                  lgbm,all, 98.00,  4.00,                     |                -* 
 5,                lgbm,anova, 98.00,  4.00,                     |                -* 
