BL time,	1.886
anova time,	0.003
shap time,	27.324
rlf time,	26.77
---------------------
Number of features selected by BL, 5
BL features,	Pre, Post, smoother_GSACBE, NumCore, cGS_IP_CG
shap features,	smoother_GSACBE, Pre, Post, smoother_JAC, smoother_GS
anova features,	smoother_GSACBE, cGS, Pre, smoother_GS, Post
rlf features,	cGS_RED_AMG, smoother, NumCore, cGS_IP_CG, smoother_GSRBAC
---------------------
linear time, 23.44
rf time, 48.606
svr time, 27.508
ann time, 55.081
lgbm time, 27.219
bl time, 23.677
asIs time, 0.128
#
 0,                      asIs, 50.00, 40.00,       --------------|--------------- *- 
#
 1,                    rf,RLF, 78.00, 15.00,                     |                 * 
 1,                  lgbm,RLF, 79.00,  9.00,                     |                -* 
#
 2,                linear,RLF, 87.00, 17.00,                     |                  *
 2,                   svr,RLF, 87.00,  9.00,                     |                 -*
 2,                   ann,RLF, 87.00,  2.00,                     |                 -*
#
 3,                    bl,RLF, 96.00,  6.00,                     |                  *
#
 4,                  svr,SHAP, 99.00,  0.00,                     |                  *
 4,                 svr,anova, 99.00,  1.00,                     |                  *
 4,                    ann,BL, 99.00,  1.00,                     |                  *
 4,                  ann,SHAP, 99.00,  0.00,                     |                  *
 4,                   ann,all, 99.00,  1.00,                     |                  *
 4,                 ann,anova, 99.00,  1.00,                     |                  *
 4,                   bl,SHAP, 99.00,  1.00,                     |                  *
#
 5,                 linear,BL, 100.00,  0.00,                     |                  *
 5,               linear,SHAP, 100.00,  0.00,                     |                  *
 5,                linear,all, 100.00,  0.00,                     |                  *
 5,              linear,anova, 100.00,  0.00,                     |                  *
 5,                     rf,BL, 100.00,  1.00,                     |                  *
 5,                   rf,SHAP, 100.00,  0.00,                     |                  *
 5,                    rf,all, 100.00,  0.00,                     |                  *
 5,                  rf,anova, 100.00,  1.00,                     |                  *
 5,                    svr,BL, 100.00,  1.00,                     |                  *
 5,                   svr,all, 100.00,  0.00,                     |                  *
 5,                   lgbm,BL, 100.00,  0.00,                     |                  *
 5,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 5,                  lgbm,all, 100.00,  0.00,                     |                  *
 5,                lgbm,anova, 100.00,  0.00,                     |                  *
 5,                     bl,BL, 100.00,  0.00,                     |                  *
 5,                    bl,all, 100.00,  0.00,                     |                  *
 5,                  bl,anova, 100.00,  0.00,                     |                  *
