BL time,	335.596
anova time,	0.03
shap time,	7.808
rlf time,	997.334
---------------------
Number of features selected by BL, 16
BL features,	o_43, o_1_2, o_41, o_8, o_48, g_9_14, g_9_19, o_1_1, g_9_21, g_9_18, o_17, g_9_13, g_9_11, g_9_15, g_42_3, g_9_12
shap features,	o_17, o_1_1, g_42_2, o_41, o_43, g_9_14, g_9_15, g_9_21, g_42_1, g_9_10, g_42_3, g_42_4, o_1_2, g_9_11, g_9_22, g_9_23
anova features,	o_17, o_1_1, o_41, o_43, o_48, o_1_2, o_8, g_42_4, g_42_3, g_42_1, g_9_10, g_9_22, g_9_23, g_9_24, g_9_20, g_9_16
rlf features,	o_17, o_1_2, g_9_14, R_9, m_50, g_9_15, g_9_21, m_49, g_42_4, m_47, g_42_1, m_3_2, g_9_5, m_11, g_13_15, o_36
---------------------
linear time, 379.262
rf time, 503.017
svr time, 399.07
ann time, 453.756
lgbm time, 394.926
bl time, 1065.137
asIs time, 0.682
#
 0,                      asIs, -3.00, 50.00, -------       *    -|---                
#
 1,                linear,RLF, 90.00,  8.00,                     |            ---* - 
 1,                   ann,RLF, 90.00, 12.00,                     |          ---  *-- 
 1,                    bl,RLF, 90.00, 15.00,                     |           --  * - 
#
 2,              linear,anova, 92.00,  8.00,                     |                *  
 2,                    rf,RLF, 92.00, 13.00,                     |             -  *  
 2,                 ann,anova, 92.00,  5.00,                     |              --*- 
#
 3,                  rf,anova, 95.00,  4.00,                     |                -* 
#
 4,                     rf,BL, 96.00,  4.00,                     |            -----* 
 4,                 linear,BL, 97.00,  3.00,                     |                -* 
 4,                   svr,RLF, 97.00, 14.00,                     |            --   * 
 4,                 svr,anova, 97.00,  8.00,                     |              -- * 
 4,                    ann,BL, 97.00,  4.00,                     |              ---* 
 4,                   lgbm,BL, 97.00,  3.00,                     |                -* 
 4,                  lgbm,RLF, 97.00,  5.00,                     |            ---- * 
 4,                lgbm,anova, 97.00,  4.00,                     |                -* 
#
 5,               linear,SHAP, 99.00,  1.00,                     |                 -*
 5,                linear,all, 99.00,  1.00,                     |                 -*
 5,                   rf,SHAP, 99.00,  2.00,                     |                  *
 5,                    rf,all, 99.00,  2.00,                     |                  *
 5,                    svr,BL, 99.00,  3.00,                     |                  *
 5,                  svr,SHAP, 99.00,  3.00,                     |                  *
 5,                   svr,all, 99.00,  3.00,                     |                  *
 5,                   ann,all, 99.00,  3.00,                     |                  *
 5,                 lgbm,SHAP, 99.00,  2.00,                     |                  *
 5,                  lgbm,all, 99.00,  2.00,                     |                  *
 5,                  ann,SHAP, 100.00,  4.00,                     |                - *
 5,                     bl,BL, 100.00,  3.00,                     |                - *
 5,                   bl,SHAP, 100.00,  3.00,                     |                - *
 5,                    bl,all, 100.00,  3.00,                     |                - *
 5,                  bl,anova, 100.00,  5.00,                     |                - *
