BL time,	0.818
anova time,	0.001
shap time,	40.741
rlf time,	2.577
---------------------
Number of features selected by BL, 2
BL features,	Counters, Spout_wait
shap features,	Spout_wait, Counters
anova features,	Spout_wait, Counters
rlf features,	Spout_wait, Counters
---------------------
linear time, 3.945
rf time, 18.515
svr time, 7.971
ann time, 21.286
lgbm time, 6.213
bl time, 6.492
asIs time, 0.054
#
 0,                      asIs, 41.00, 44.00,              -------|--------    *-     
#
 1,                 ann,anova, 81.00, 10.00,                     |              - *  
 1,                 linear,BL, 84.00,  2.00,                     |               -*  
 1,               linear,SHAP, 84.00,  2.00,                     |               -*  
 1,                linear,RLF, 84.00,  2.00,                     |               -*  
 1,              linear,anova, 84.00,  2.00,                     |               -*  
 1,                  ann,SHAP, 85.00,  5.00,                     |               -*  
 1,                   ann,RLF, 85.00,  9.00,                     |              - *  
 1,                    ann,BL, 86.00,  7.00,                     |              --*  
#
 2,                   ann,all, 91.00,  2.00,                     |                -* 
 2,                linear,all, 93.00,  7.00,                     |                 * 
 2,                     rf,BL, 93.00,  5.00,                     |                -* 
 2,                   rf,SHAP, 93.00,  5.00,                     |                -* 
 2,                    rf,RLF, 93.00,  5.00,                     |                -* 
 2,                  rf,anova, 93.00,  5.00,                     |                -* 
 2,                   lgbm,BL, 93.00,  6.00,                     |                -* 
 2,                 lgbm,SHAP, 93.00,  6.00,                     |                -* 
 2,                  lgbm,RLF, 93.00,  6.00,                     |                -* 
 2,                  lgbm,all, 93.00,  6.00,                     |                 * 
 2,                lgbm,anova, 93.00,  6.00,                     |                -* 
 2,                     bl,BL, 93.00,  4.00,                     |                -* 
 2,                   bl,SHAP, 93.00,  4.00,                     |                -* 
 2,                    bl,RLF, 93.00,  4.00,                     |                -* 
 2,                    bl,all, 93.00,  4.00,                     |                -* 
 2,                  bl,anova, 93.00,  4.00,                     |                -* 
 2,                    svr,BL, 94.00,  6.00,                     |                -* 
 2,                  svr,SHAP, 94.00,  6.00,                     |                -* 
 2,                   svr,RLF, 94.00,  6.00,                     |                -* 
 2,                 svr,anova, 94.00,  6.00,                     |                -* 
 2,                    rf,all, 97.00,  5.00,                     |                 * 
 2,                   svr,all, 97.00,  8.00,                     |                -* 
