BL time,	85.37
anova time,	0.003
shap time,	25.138
rlf time,	79.756
---------------------
Number of features selected by BL, 13
BL features,	KLOC, PCON, AEXP, SITE, RELY, TEAM, PREC, RUSE, B, RESL, PCAP, ACAP, DATA
shap features,	KLOC, RELY, SITE, TEAM, AEXP, ACAP, PCON, DOCU, PCAP, RUSE, PVOL, PREC, B
anova features,	KLOC, RELY, SITE, TEAM, AEXP, PCON, DOCU, RUSE, SCED, TOOL, DATA, PREC, PVOL
rlf features,	KLOC, RELY, SITE, ACAP, AEXP, PCON, TEAM, PCAP, DATA, AA, B, DOCU, ETAT
---------------------
linear time, 142.317
rf time, 1166.618
svr time, 230.806
ann time, 220.521
lgbm time, 177.443
bl time, 580.83
asIs time, 0.638
#
 0,                      asIs,  6.00, 22.00,         ----------  * -----             
#
 1,                 ann,anova, 80.00, 11.00,                     |            - *-   
 1,                   ann,all, 83.00,  8.00,                     |             -*-   
 1,                  ann,SHAP, 85.00,  8.00,                     |            -- *-- 
#
 2,                    ann,BL, 86.00,  6.00,                     |             - *-- 
 2,                   ann,RLF, 86.00, 10.00,                     |            -- *-  
#
 3,                    svr,BL, 88.00,  3.00,                     |             --*   
 3,                  svr,SHAP, 88.00,  3.00,                     |             --*   
 3,                   svr,RLF, 88.00,  3.00,                     |             --*   
 3,                   svr,all, 88.00,  1.00,                     |             --*   
 3,                   bl,SHAP, 89.00,  3.00,                     |              -*-  
 3,                    bl,RLF, 89.00,  3.00,                     |              -*-  
#
 4,                     rf,BL, 90.00,  7.00,                     |               -*  
 4,                   rf,SHAP, 90.00,  7.00,                     |               -*  
 4,                    rf,all, 90.00,  4.00,                     |               -*  
 4,                 svr,anova, 90.00,  3.00,                     |                *  
 4,                lgbm,anova, 90.00,  7.00,                     |               -*- 
 4,                     bl,BL, 90.00,  6.00,                     |                *  
 4,                    bl,all, 90.00,  6.00,                     |                *  
 4,                  bl,anova, 90.00,  4.00,                     |             -- *  
#
 5,                  rf,anova, 92.00,  7.00,                     |                *  
 5,                   lgbm,BL, 92.00,  7.00,                     |               -*- 
 5,                 lgbm,SHAP, 92.00,  7.00,                     |               -*- 
 5,                  lgbm,all, 92.00,  7.00,                     |               -*- 
 5,                    rf,RLF, 94.00,  7.00,                     |               -*  
 5,                  lgbm,RLF, 94.00,  7.00,                     |               -*- 
#
 6,                 linear,BL, 96.00, 16.00,                     |                 * 
 6,               linear,SHAP, 96.00, 10.00,                     |               - * 
 6,                linear,RLF, 96.00, 17.00,                     |                 * 
 6,                linear,all, 96.00, 10.00,                     |               - * 
 6,              linear,anova, 96.00, 10.00,                     |               - * 
