BL time,	902.966
anova time,	0.189
shap time,	33.077
rlf time,	5023.924
---------------------
Number of features selected by BL, 9
BL features,	o_9_9, g_22_3_15, g_22_3_10, g_22_3_13, o_9_1, g_22_3_17, o_9_2, g_22_3_19, g_22_3_12
shap features,	g_22_3_14, g_22_3_12, g_22_3_19, g_22_3_16, o_9_1, o_9_9, g_22_3_18, g_22_3_17, g_22_3_10
anova features,	g_22_3_14, g_22_3_12, g_22_3_16, g_22_3_19, o_9_1, o_9_9, g_22_3_18, g_22_3_17, g_22_3_10
rlf features,	g_22_3_14, g_22_3_12, g_22_3_19, g_22_3_16, o_9_1, o_9_9, o_35, o_39, g_7_4_39
---------------------
linear time, 969.349
rf time, 1076.33
svr time, 1036.943
ann time, 1066.571
lgbm time, 981.092
bl time, 2231.449
asIs time, 0.501
#
 0,                      asIs, -1.00, 18.00,     ---------- *  --|---------          
#
 1,                    bl,RLF, 80.00,  6.00,                     |          ---*--   
#
 2,                    rf,RLF, 88.00,  5.00,                     |            ---*   
 2,                  lgbm,RLF, 88.00,  7.00,                     |             --*   
 2,                   svr,RLF, 89.00,  9.00,                     |             - *-  
#
 3,                    ann,BL, 90.00,  9.00,                     |              -* - 
 3,                   ann,RLF, 90.00, 11.00,                     |              -* - 
#
 4,                linear,RLF, 92.00,  7.00,                     |              - *- 
#
 5,                   lgbm,BL, 94.00,  9.00,                     |                *- 
 5,                     bl,BL, 95.00,  6.00,                     |                 * 
 5,                   bl,SHAP, 95.00,  5.00,                     |                 * 
 5,                    bl,all, 95.00,  6.00,                     |                 * 
 5,                  bl,anova, 95.00,  5.00,                     |                 * 
#
 6,                 linear,BL, 97.00,  6.00,                     |               - * 
 6,               linear,SHAP, 97.00,  5.00,                     |               - * 
 6,                linear,all, 97.00,  5.00,                     |               - * 
 6,              linear,anova, 97.00,  5.00,                     |               - * 
 6,                     rf,BL, 97.00, 11.00,                     |            ---  * 
 6,                   rf,SHAP, 97.00,  3.00,                     |                 * 
 6,                    rf,all, 97.00,  3.00,                     |                 * 
 6,                  rf,anova, 97.00,  3.00,                     |                 * 
 6,                    svr,BL, 97.00,  2.00,                     |               --* 
 6,                  svr,SHAP, 97.00,  0.00,                     |                -* 
 6,                   svr,all, 97.00,  0.00,                     |                -* 
 6,                 svr,anova, 97.00,  0.00,                     |                -* 
 6,                  ann,SHAP, 97.00,  9.00,                     |              -- * 
 6,                   ann,all, 97.00,  6.00,                     |               --* 
 6,                 ann,anova, 97.00,  3.00,                     |               - * 
 6,                 lgbm,SHAP, 97.00,  3.00,                     |                 * 
 6,                  lgbm,all, 97.00,  3.00,                     |                 * 
 6,                lgbm,anova, 97.00,  3.00,                     |                 * 
