BL time,	0.056
anova time,	0.001
shap time,	23.124
rlf time,	10.149
---------------------
Number of features selected by BL, 5
BL features,	Max_spout, Counters, Spouts, Spout_wait, Spliters
shap features,	Max_spout, Counters, Spout_wait, Spouts, Spliters
anova features,	Counters, Spout_wait, Spliters, Spouts, Max_spout
rlf features,	Max_spout, Spliters, Counters, Spouts, Spout_wait
---------------------
linear time, 11.371
rf time, 38.691
svr time, 17.126
ann time, 31.157
lgbm time, 14.496
bl time, 14.577
asIs time, 0.125
#
 0,                      asIs, -16.00, 26.00,  --- *     ---------|---                
#
 1,                linear,all, 61.00, 25.00,                     |-     * ---        
 1,                 linear,BL, 62.00, 13.00,                     |-----  * ---       
 1,               linear,SHAP, 62.00, 13.00,                     |-----  * ---       
 1,                linear,RLF, 62.00, 13.00,                     |-----  * ---       
 1,              linear,anova, 62.00, 13.00,                     |-----  * ---       
#
 2,                     bl,BL, 82.00, 18.00,                     |            *  -   
 2,                    bl,all, 82.00, 18.00,                     |            *  -   
 2,                   ann,RLF, 83.00,  9.00,                     |          -- *     
 2,                 ann,anova, 89.00,  9.00,                     |          --  *-   
 2,                   bl,SHAP, 89.00,  9.00,                     |         ---  *-   
 2,                    bl,RLF, 89.00,  9.00,                     |         ---  *-   
 2,                  bl,anova, 89.00,  9.00,                     |         ---  *-   
#
 3,                    ann,BL, 90.00,  8.00,                     |            -  *   
 3,                  ann,SHAP, 90.00,  8.00,                     |            -  *   
 3,                   ann,all, 91.00, 10.00,                     |            -  *   
#
 4,                   svr,all, 94.00, 12.00,                     |             -  *- 
#
 5,                   lgbm,BL, 96.00,  4.00,                     |               -*- 
 5,                 lgbm,SHAP, 96.00,  4.00,                     |               -*- 
 5,                  lgbm,RLF, 96.00,  4.00,                     |               -*- 
 5,                  lgbm,all, 96.00,  4.00,                     |               -*- 
 5,                lgbm,anova, 96.00,  4.00,                     |               -*- 
 5,                     rf,BL, 98.00,  4.00,                     |               - * 
 5,                   rf,SHAP, 98.00,  4.00,                     |               - * 
 5,                    rf,RLF, 98.00,  4.00,                     |               - * 
 5,                    rf,all, 98.00,  4.00,                     |               - * 
 5,                  rf,anova, 98.00,  4.00,                     |               - * 
#
 6,                    svr,BL, 102.00,  6.00,                     |               -  *
 6,                  svr,SHAP, 102.00,  6.00,                     |               -  *
 6,                   svr,RLF, 102.00,  6.00,                     |               -  *
 6,                 svr,anova, 102.00,  6.00,                     |               -  *
