BL time,	0.044
anova time,	0.001
shap time,	28.485
rlf time,	0.871
---------------------
Number of features selected by BL, 3
BL features,	Volume, Model, Clndrs
shap features,	Volume, Clndrs, Model
anova features,	Volume, Model, origin
rlf features,	Clndrs, Volume, Model
---------------------
linear time, 1.963
rf time, 12.909
svr time, 2.166
ann time, 15.082
lgbm time, 3.776
bl time, 5.167
asIs time, 0.019
#
 0,                      asIs, -3.00, 53.00,     -----         *-|------             
#
 1,                    ann,BL, 76.00, 47.00,                     |     --     *      
 1,                   ann,RLF, 77.00, 19.00,                     |     ------- *  -  
 1,                 ann,anova, 77.00, 12.00,                     |         --- *---  
 1,                  ann,SHAP, 78.00, 21.00,                     |         --- *  -- 
 1,                   ann,all, 78.00, 10.00,                     |        ---- *--   
 1,                    svr,BL, 79.00, 26.00,                     |          -  *     
 1,                  svr,SHAP, 79.00, 26.00,                     |          -  *     
 1,                   svr,RLF, 79.00, 26.00,                     |          -  *     
 1,                  lgbm,all, 79.00, 15.00,                     |          ---*  -- 
 1,                lgbm,anova, 79.00, 15.00,                     |            -*  -- 
 1,                     bl,BL, 79.00, 17.00,                     |          -- *  -- 
 1,                    bl,all, 79.00, 17.00,                     |          -- *  -- 
#
 2,                   lgbm,BL, 80.00, 15.00,                     |          ---*  -- 
 2,                 lgbm,SHAP, 80.00, 15.00,                     |          ---*  -- 
 2,                  lgbm,RLF, 80.00, 15.00,                     |          ---*  -- 
 2,                     rf,BL, 81.00, 15.00,                     |             *  -- 
 2,                   rf,SHAP, 81.00, 15.00,                     |             *  -- 
 2,                    rf,RLF, 81.00, 15.00,                     |             *  -- 
 2,                    rf,all, 81.00, 15.00,                     |             *  -- 
 2,                  rf,anova, 81.00, 15.00,                     |             *  -- 
 2,                   svr,all, 81.00, 19.00,                     |          -- *     
 2,                 svr,anova, 81.00, 15.00,                     |          ---*     
 2,                   bl,SHAP, 81.00, 21.00,                     |        ---- *  -- 
 2,                    bl,RLF, 81.00, 21.00,                     |        ---- *  -- 
 2,                  bl,anova, 81.00, 19.00,                     |         --- *  -- 
#
 3,                 linear,BL, 94.00, 16.00,                     |                *- 
 3,               linear,SHAP, 94.00, 16.00,                     |                *- 
 3,                linear,RLF, 94.00, 16.00,                     |                *- 
 3,                linear,all, 94.00, 16.00,                     |                *- 
 3,              linear,anova, 94.00, 16.00,                     |                *- 
