BL time,	1.938
anova time,	0.163
shap time,	57.886
rlf time,	4282.312
---------------------
Number of features selected by BL, 9
BL features,	g_15_6_17, g_15_6_11, g_24_3_4, g_15_6_14, g_15_6_13, g_15_6_12, g_15_6_16, g_15_6_19, g_15_6_26
shap features,	g_15_6_17, g_15_6_11, g_15_6_13, g_15_6_12, g_24_3_4, g_15_6_14, g_15_6_19, g_15_6_16, g_24_3_6
anova features,	g_15_6_17, g_15_6_11, g_15_6_13, g_15_6_12, g_15_6_14, g_15_6_19, g_15_6_16, g_15_6_15, g_15_6_10
rlf features,	g_15_6_17, g_15_6_11, g_15_6_13, g_15_6_12, g_15_6_14, g_24_3_4, g_24_3_6, g_24_3_5, g_24_3_8
---------------------
linear time, 967.094
rf time, 1059.358
svr time, 957.874
ann time, 1036.981
lgbm time, 963.833
bl time, 713.227
asIs time, 0.49
#
 0,                      asIs,  9.00, 52.00,   -------      *    | ----------        
#
 1,              linear,anova, 87.00,  0.00,                     |             -*--  
#
 2,                 ann,anova, 88.00,  3.00,                     |            --*    
 2,                     bl,BL, 88.00,  6.00,                     |            --*--- 
 2,                    bl,all, 88.00,  6.00,                     |            --*--- 
 2,                     rf,BL, 89.00,  5.00,                     |             -*-   
 2,                  bl,anova, 90.00,  7.00,                     |            -- *-- 
#
 3,               linear,SHAP, 93.00,  2.00,                     |              -*-- 
 3,                   rf,SHAP, 93.00,  6.00,                     |              -* - 
 3,                    rf,RLF, 93.00,  6.00,                     |              -* - 
 3,                  rf,anova, 93.00,  5.00,                     |               * - 
 3,                    svr,BL, 93.00,  5.00,                     |              -*-- 
 3,                   ann,RLF, 93.00,  9.00,                     |               * - 
 3,                   lgbm,BL, 93.00,  3.00,                     |             --*   
 3,                   bl,SHAP, 93.00,  8.00,                     |           --- *-- 
 3,                    bl,RLF, 93.00,  9.00,                     |               *-- 
#
 4,                 linear,BL, 95.00,  2.00,                     |              - *- 
 4,                linear,RLF, 95.00,  2.00,                     |              - *- 
 4,                linear,all, 95.00,  2.00,                     |                *- 
 4,                    rf,all, 95.00,  5.00,                     |                *- 
 4,                  svr,SHAP, 95.00,  5.00,                     |                *- 
 4,                   svr,RLF, 95.00,  5.00,                     |                *- 
 4,                   svr,all, 95.00,  5.00,                     |                *- 
 4,                 svr,anova, 95.00,  5.00,                     |                *- 
 4,                    ann,BL, 95.00, 10.00,                     |             -  *- 
 4,                  ann,SHAP, 95.00,  5.00,                     |              - *- 
 4,                 lgbm,SHAP, 95.00,  6.00,                     |                *- 
 4,                  lgbm,RLF, 95.00,  5.00,                     |              - *- 
 4,                  lgbm,all, 95.00,  5.00,                     |                *- 
 4,                lgbm,anova, 95.00,  5.00,                     |                *- 
 4,                   ann,all, 97.00,  5.00,                     |              - *- 
