BL time,	0.036
anova time,	0.001
shap time,	23.916
rlf time,	2.565
---------------------
Number of features selected by BL, 3
BL features,	Spout_wait, Counters, Spliters
shap features,	Spout_wait, Counters, Spliters
anova features,	Spout_wait, Counters, Spliters
rlf features,	Spout_wait, Counters, Spliters
---------------------
linear time, 3.638
rf time, 22.721
svr time, 4.267
ann time, 19.334
lgbm time, 6.265
bl time, 6.506
asIs time, 0.056
#
 0,                      asIs, 41.00, 44.00,              -------|--------    *-     
#
 1,                   ann,all, 90.00,  4.00,                     |               - * 
#
 2,                    ann,BL, 91.00, 10.00,                     |                 * 
 2,                   ann,RLF, 91.00,  7.00,                     |                -* 
 2,                  ann,SHAP, 92.00,  8.00,                     |                -* 
 2,                 ann,anova, 92.00,  7.00,                     |                -* 
 2,                 linear,BL, 93.00,  7.00,                     |                 * 
 2,               linear,SHAP, 93.00,  7.00,                     |                 * 
 2,                linear,RLF, 93.00,  7.00,                     |                 * 
 2,                linear,all, 93.00,  7.00,                     |                 * 
 2,              linear,anova, 93.00,  7.00,                     |                 * 
 2,                   lgbm,BL, 93.00,  6.00,                     |                 * 
 2,                 lgbm,SHAP, 93.00,  6.00,                     |                 * 
 2,                  lgbm,RLF, 93.00,  6.00,                     |                 * 
 2,                  lgbm,all, 93.00,  6.00,                     |                 * 
 2,                lgbm,anova, 93.00,  6.00,                     |                 * 
 2,                     bl,BL, 93.00,  4.00,                     |                -* 
 2,                   bl,SHAP, 93.00,  4.00,                     |                -* 
 2,                    bl,RLF, 93.00,  4.00,                     |                -* 
 2,                    bl,all, 93.00,  4.00,                     |                -* 
 2,                  bl,anova, 93.00,  4.00,                     |                -* 
#
 3,                     rf,BL, 97.00,  5.00,                     |                 * 
 3,                   rf,SHAP, 97.00,  5.00,                     |                 * 
 3,                    rf,RLF, 97.00,  5.00,                     |                 * 
 3,                    rf,all, 97.00,  5.00,                     |                 * 
 3,                  rf,anova, 97.00,  5.00,                     |                 * 
 3,                    svr,BL, 97.00,  8.00,                     |                -* 
 3,                  svr,SHAP, 97.00,  8.00,                     |                -* 
 3,                   svr,RLF, 97.00,  8.00,                     |                -* 
 3,                   svr,all, 97.00,  8.00,                     |                -* 
 3,                 svr,anova, 97.00,  8.00,                     |                -* 
