Stop,Method,k=20,k=15,k=10,k=5,k=3,k=1
8,LGBM,43,46,48,48,48,48
16,LGBM,94,95,96,97,98,97
32,LGBM,97,98,98,99,99,99
64,LGBM,97,98,98,99,100,100
128,LGBM,97,98,98,99,100,100
256,LGBM,97,98,98,99,100,100
8,LR,66,68,71,75,76,76
16,LR,87,89,91,92,93,95
32,LR,93,94,95,96,97,98
64,LR,94,95,96,98,98,99
128,LR,94,95,96,98,98,99
256,LR,93,95,96,97,97,99
8,BL,47,46,49,56,59,82
16,BL,92,94,95,97,97,99
32,BL,96,97,99,100,100,100
64,BL,97,98,99,100,100,100
128,BL,97,98,99,100,100,100
256,BL,97,98,99,100,100,100
