RLF_linear,RLF_rf,RLF_svr,RLF_ann,RLF_lgbm,RLF_bl,SHAP_linear,SHAP_rf,SHAP_svr,SHAP_ann,SHAP_lgbm,SHAP_bl,BL_linear,BL_rf,BL_svr,BL_ann,BL_lgbm,BL_bl,_asIs,data
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,Apache_AllMeasurements
0,1,2,2,1,1,0,1,2,2,1,1,0,1,2,2,1,2,3,auto93
5,4,4,5,4,6,4,2,4,5,3,2,0,0,1,4,1,2,7,billing10k
1,1,1,0,2,1,0,1,1,1,1,0,0,1,2,0,1,0,3,coc1000
2,2,3,2,3,3,0,0,0,0,0,1,0,0,0,0,0,1,4,FFM-125-25-0
4,4,6,6,5,7,1,0,0,1,1,2,1,2,1,3,2,2,8,FFM-250-50-0
4,0,1,3,0,2,4,0,1,3,0,2,4,0,1,3,0,2,5,healthCloseIsses12mths0001-hard
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,healthCloseIsses12mths0011-easy
3,4,2,3,3,2,0,0,0,1,0,1,0,0,0,1,0,0,5,HSMGP_num
0,1,1,1,2,1,0,1,2,2,2,1,0,1,1,1,2,1,3,nasa93dem
0,2,1,3,2,3,0,2,1,3,1,3,0,2,1,3,2,3,4,pom3a
1,1,1,2,1,2,0,1,1,2,1,2,1,1,1,2,1,2,3,pom3b
0,2,1,5,1,3,0,0,0,5,1,3,0,0,0,4,1,2,6,pom3c
0,3,3,2,1,4,0,3,3,3,3,3,0,3,3,1,3,3,5,pom3d
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,rs-6d-c3_obj1
1,0,2,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2,rs-6d-c3_obj2
1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,Scrum10k
3,2,3,3,3,3,0,0,0,1,0,3,1,1,1,3,1,3,4,Scrum1k
2,1,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,3,sol-6d-c2-obj1
2,0,0,2,0,3,3,1,1,3,1,4,3,2,3,3,3,4,5,SQL_AllMeasurements
1,0,0,2,1,1,1,0,0,2,1,1,1,0,0,1,1,1,3,SS-A
0,2,1,0,0,1,0,2,1,0,0,1,0,2,1,0,0,1,3,SS-B
2,0,1,2,1,2,2,0,1,2,1,2,2,0,1,2,1,2,3,SS-C
1,1,1,2,0,2,1,1,1,3,0,2,1,1,1,2,0,2,4,SS-D
3,0,0,2,0,2,3,0,0,1,0,2,3,0,0,1,0,2,4,SS-E
3,1,1,2,0,2,3,1,1,1,0,2,3,1,1,1,0,2,4,SS-F
2,2,1,5,0,3,2,2,1,4,0,3,2,2,1,5,0,3,6,SS-G
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,SS-H
1,0,2,1,0,1,1,0,2,1,0,1,1,0,2,1,0,1,3,SS-I
0,1,2,2,1,1,1,3,3,1,1,1,0,1,2,1,1,1,4,SS-J
4,1,0,2,1,3,4,1,0,2,1,3,4,1,0,2,1,3,5,SS-K
2,1,2,2,2,2,0,0,1,2,1,2,1,0,1,2,1,1,3,SS-L
1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,2,SS-M
5,2,1,0,0,2,3,0,0,0,0,1,0,4,2,1,4,1,6,SS-O
2,1,2,2,2,2,0,0,1,2,1,1,0,0,1,2,1,1,3,SS-P
2,3,3,2,3,1,6,0,4,2,1,1,6,0,5,1,0,0,7,SS-Q
2,3,5,3,2,4,3,3,3,4,4,3,3,1,3,4,0,3,6,SS-R
0,1,1,3,0,3,2,0,2,2,0,3,0,1,1,4,0,3,5,SS-S
4,4,4,4,4,4,3,0,4,3,0,1,4,0,2,3,0,1,5,SS-T
2,3,3,3,3,3,2,3,3,3,4,2,2,0,3,3,0,1,5,SS-U
3,3,3,3,3,3,1,0,1,1,2,2,1,0,1,2,2,1,4,SS-V
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,wc+rs-3d-c4-obj1
2,0,1,1,1,0,2,0,1,1,1,0,2,0,1,1,1,0,3,wc+sol-3d-c4-obj1
2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,wc+wc-3d-c4-obj1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,wc-6d-c1-obj1
2,0,0,2,1,3,2,0,1,2,1,3,2,0,0,2,1,3,4,Wine_quality
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,X264_AllMeasurements
2,0,1,2,0,3,1,0,1,1,0,3,1,0,1,3,0,3,4,xomo_flight
0,0,1,3,0,3,0,0,2,2,0,3,0,0,2,3,0,3,4,xomo_ground
3,1,3,3,1,4,3,0,1,2,1,2,2,0,2,3,1,5,6,xomo_osp
1,3,4,5,2,5,0,3,4,4,1,5,1,2,4,5,1,5,6,xomo_osp2
