linear,rf,svr,ann,lgbm,bl,asIs,data,x*,x,y,budget,rows
 93.00, 97.00, 97.00, 92.00, 93.00, 93.00, 41.00,SS-A,3,3,2,60,1344
 84.00, 74.00, 77.00, 84.00, 84.00, 77.00, 22.00,SS-B,2,3,2,60,207
 80.00, 87.00, 84.00, 82.00, 84.00, 78.00, 13.00,SS-C,2,3,2,60,1513
 73.00, 75.00, 75.00, 71.00, 77.00, 72.00, 35.00,SS-D,3,3,2,60,197
 82.00, 96.00, 97.00, 91.00, 97.00, 91.00, 21.00,SS-E,3,3,2,60,757
 76.00, 83.00, 83.00, 80.00, 98.00, 77.00, 17.00,SS-F,3,3,2,60,197
 76.00, 76.00, 82.00, 68.00, 93.00, 69.00, 18.00,SS-G,3,3,2,60,197
 95.00, 99.00, 99.00, 97.00, 99.00, 99.00,  6.00,wc+rs-3d-c4-obj1,2,3,1,60,197
 95.00, 100.00, 99.00, 95.00, 99.00, 100.00,  3.00,wc+sol-3d-c4-obj1,2,3,1,60,197
 95.00, 99.00, 99.00, 98.00, 99.00, 99.00, -12.00,wc+wc-3d-c4-obj1,2,3,1,60,197
 100.00, 100.00, 100.00, 68.00, 100.00, 100.00,  8.00,SS-H,3,4,2,60,260
 98.00, 99.00, 40.00, 98.00, 99.00, 98.00, -16.00,SS-I,4,5,2,60,1081
 94.00, 81.00, 81.00, 77.00, 79.00, 79.00, -3.00,auto93,2,5,3,60,399
 36.00, 57.00, 49.00, 38.00, 66.00, 46.00, 31.00,healthCloseIsses12mths0001-hard,4,5,3,60,10001
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, -29.00,healthCloseIsses12mths0011-easy,3,5,3,60,10001
 97.00, 96.00, 94.00, 96.00, 96.00, 96.00, -14.00,SS-J,5,6,2,60,3841
 61.00, 98.00, 94.00, 90.00, 96.00, 82.00, -16.00,SS-K,4,6,2,60,2881
 99.00, 100.00, 100.00, 93.00, 100.00, 92.00, 53.00,SS-S,3,6,2,60,3841
 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 44.00,rs-6d-c3_obj1,5,6,1,60,3841
 99.00, 100.00, 99.00, 100.00, 100.00, 100.00, 98.00,rs-6d-c3_obj2,3,6,1,60,3841
 93.00, 94.00, 94.00, 94.00, 94.00, 94.00,  1.00,sol-6d-c2-obj1,4,6,1,60,2867
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00,wc-6d-c1-obj1,3,6,1,60,2881
 95.00, 95.00, 95.00, 100.00, 95.00, 95.00, 40.00,Apache_AllMeasurements,6,9,1,60,193
 93.00, 87.00, 87.00, 80.00, 88.00, 76.00,  4.00,pom3a,4,9,3,60,20001
 88.00, 84.00, 90.00, 77.00, 87.00, 73.00, -7.00,pom3b,4,9,3,60,20001
 79.00, 73.00, 78.00, 53.00, 73.00, 61.00, -6.00,pom3c,5,9,3,60,20001
 89.00, 85.00, 82.00, 88.00, 82.00, 83.00, -36.00,pom3d,5,9,3,60,501
 55.00, 95.00, 95.00, 73.00, 77.00, 51.00, -9.00,Wine_quality,4,10,2,60,1600
 100.00, 100.00, 99.00, 98.00, 99.00, 99.00, -7.00,SS-L,5,11,2,60,1024
 66.00, 92.00, 79.00, 88.00, 96.00, 88.00, 23.00,SS-O,6,11,2,60,973
 100.00, 100.00, 99.00, 98.00, 99.00, 99.00, -7.00,SS-P,7,11,2,60,1024
 98.00, 95.00, 98.00, 98.00, 97.00, 65.00, 20.00,SS-X,4,11,2,60,86059
 87.00, 100.00, 96.00, 94.00, 100.00, 99.00, 31.00,SS-T,5,12,2,60,5185
 63.00, 97.00, 81.00, 97.00, 98.00, 98.00, -2.00,SS-Q,5,13,3,60,2737
 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 50.00,HSMGP_num,6,14,1,60,3457
 81.00, 85.00, 83.00, 80.00, 85.00, 82.00, -26.00,SS-R,7,14,2,60,3009
 97.00, 99.00, 97.00, 96.00, 96.00, 98.00, 25.00,SS-V,6,16,2,60,6841
 54.00, 66.00, 61.00, 55.00, 99.00, 55.00,  3.00,SS-W,9,16,2,60,65537
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 39.00,X264_AllMeasurements,7,16,1,60,1153
 99.00, 100.00, 99.00, 99.00, 100.00, 100.00, 65.00,SS-M,7,17,3,60,865
 -9.00, 81.00, 50.00, 62.00, 81.00, 53.00,  9.00,SS-N,4,17,2,60,53663
 75.00, 56.00, 55.00, 76.00, 58.00, 60.00, 15.00,coc1000,6,20,5,60,1001
 97.00, 100.00, 98.00, 97.00, 100.00, 99.00, -19.00,SS-U,6,21,2,378,4609
 94.00, 97.00, 86.00, 91.00, 98.00, 93.00,  6.00,xomo_flight,6,27,4,810,10001
 96.00, 90.00, 88.00, 86.00, 92.00, 90.00,  6.00,xomo_ground,6,27,4,810,10001
 92.00, 98.00, 91.00, 90.00, 95.00, 93.00,  2.00,xomo_osp,7,27,4,810,10001
 92.00, 89.00, 86.00, 86.00, 88.00, 79.00, -16.00,xomo_osp2,8,27,4,810,10001
 69.00, 75.00, 74.00, 74.00, 85.00, 71.00,  7.00,SQL_AllMeasurements,15,39,1,382,4654
 93.00, 94.00, 98.00, 85.00, 94.00, 94.00, -4.00,billing10k,12,88,3,810,10001
 97.00, 97.00, 97.00, 94.00, 97.00, 97.00, 14.00,Scrum100k,15,124,3,8010,100001
