     x/y,   rows,   name
     3/1,    197, config/wc+rs-3d-c4-obj1.csv
     3/1,    197, config/wc+sol-3d-c4-obj1.csv
     3/1,    197, config/wc+wc-3d-c4-obj1.csv
     3/2,    197, config/SS-D.csv
     3/2,    197, config/SS-F.csv
     3/2,    197, config/SS-G.csv
     3/2,    207, config/SS-B.csv
     3/2,    757, config/SS-E.csv
     3/2,   1344, config/SS-A.csv
     3/2,   1513, config/SS-C.csv
     4/2,    260, config/SS-H.csv
     5/2,   1081, config/SS-I.csv
     6/1,   2867, config/sol-6d-c2-obj1.csv
     6/1,   2881, config/wc-6d-c1-obj1.csv
     6/1,   3841, config/rs-6d-c3_obj1.csv
     6/1,   3841, config/rs-6d-c3_obj2.csv
     6/2,   2881, config/SS-K.csv
     6/2,   3841, config/SS-J.csv
     6/2,   3841, config/SS-S.csv
     9/1,    193, config/Apache_AllMeasurements.csv
    11/2,    973, config/SS-O.csv
    11/2,   1024, config/SS-L.csv
    11/2,   1024, config/SS-P.csv
    11/2,  86059, config/SS-X.csv
    12/2,   5185, config/SS-T.csv
    13/3,   2737, config/SS-Q.csv
    14/1,   3457, config/HSMGP_num.csv
    14/2,   3009, config/SS-R.csv
    16/1,   1153, config/X264_AllMeasurements.csv
    16/2,   6841, config/SS-V.csv
    16/2,  65537, config/SS-W.csv
    17/2,  53663, config/SS-N.csv
    17/3,    865, config/SS-M.csv
    21/2,   4609, config/SS-U.csv
    39/1,   4654, config/SQL_AllMeasurements.csv
     5/3,    399, misc/auto93.csv
    10/2,   1600, misc/Wine_quality.csv
     5/3,  10001, hpo/healthCloseIsses12mths0001-hard.csv
     5/3,  10001, hpo/healthCloseIsses12mths0011-easy.csv
     9/3,    501, process/pom3d.csv
     9/3,  20001, process/pom3a.csv
     9/3,  20001, process/pom3b.csv
     9/3,  20001, process/pom3c.csv
    20/5,   1001, process/coc1000.csv
    25/4,     94, process/nasa93dem.csv
    27/4,  10001, process/xomo_flight.csv
    27/4,  10001, process/xomo_ground.csv
    27/4,  10001, process/xomo_osp.csv
    27/4,  10001, process/xomo_osp2.csv
    88/3,  10001, binary_config/billing10k.csv
   124/3,   1001, binary_config/Scrum1k.csv
   124/3,  10001, binary_config/Scrum10k.csv
   124/3, 100001, binary_config/Scrum100k.csv
   128/3,  10001, binary_config/FFM-125-25-0.50-SAT-1.csv
   256/3,  10001, binary_config/FFM-250-50-0.50-SAT-1.csv
   510/3,  10001, binary_config/FFM-500-100-0.50-SAT-1.csv
   511/3,  10001, binary_config/FM-500-100-0.75-SAT-1.csv
   511/3,  10001, binary_config/FM-500-100-1.00-SAT-1.csv
   513/3,  10001, binary_config/FM-500-100-0.50-SAT-1.csv
   517/3,  10001, binary_config/FM-500-100-0.25-SAT-1.csv
  1044/3,  10001, binary_config/FFM-1000-200-0.50-SAT-1.csv
