BL_time, 0.056
shap_time, 0.058
rlf_time, 38.171
Number of features selected by BL, 6
linear time, 12.231
rf time, 20.175
svr time, 40.269
ann time, 25.869
lgbm time, 14.058
bl time, 15.18
asIs time, 0.189
#
 0,                      asIs, 31.00, 107.00,            -------  |        *    ----  
#
 1,                   svr,RLF, 84.00,  3.00,                     |               -*  
 1,                 linear,BL, 85.00,  4.00,                     |                *  
 1,                linear,RLF, 85.00,  2.00,                     |               -*  
 1,                    rf,RLF, 85.00,  2.00,                     |                *  
 1,                  svr,SHAP, 85.00,  4.00,                     |                *- 
 1,                  lgbm,RLF, 85.00,  2.00,                     |                *  
 1,                   ann,RLF, 86.00,  2.00,                     |                *  
 1,                    bl,RLF, 86.00,  8.00,                     |             -- *- 
#
 2,               linear,SHAP, 87.00,  4.00,                     |               -*  
 2,                    ann,BL, 87.00,  4.00,                     |                *- 
 2,                  ann,SHAP, 87.00,  5.00,                     |                *- 
#
 3,                    svr,BL, 94.00,  2.00,                     |                  *
#
 4,                   bl,SHAP, 98.00,  4.00,                     |                --*
 4,                     bl,BL, 99.00,  9.00,                     |                - *
#
 5,                     rf,BL, 100.00,  1.00,                     |                  *
 5,                   rf,SHAP, 100.00,  1.00,                     |                  *
 5,                   lgbm,BL, 100.00,  1.00,                     |                  *
 5,                 lgbm,SHAP, 100.00,  1.00,                     |                  *
