Using device: cpu
BL_time, 0.024
shap_time, 0.02
rlf_time, 0.305
Number of features selected by BL, 3
linear time, 0.936
rf time, 7.048
svr time, 1.153
ann time, 11.76
lgbm time, 3.09
bl time, 3.011
asIs time, 0.006
#
 0,                      asIs,  6.00, 37.00,                 ----|-    *------------ 
#
 1,                  ann,SHAP, 94.00,  4.00,                     |               ---*
 1,                 linear,BL, 95.00,  2.00,                     |                  *
 1,               linear,SHAP, 95.00,  2.00,                     |                  *
 1,                linear,RLF, 95.00,  2.00,                     |                  *
 1,                    ann,BL, 97.00,  4.00,                     |               ---*
 1,                   ann,RLF, 97.00,  4.00,                     |               ---*
#
 2,                     rf,BL, 99.00,  0.00,                     |                  *
 2,                   rf,SHAP, 99.00,  0.00,                     |                  *
 2,                    rf,RLF, 99.00,  0.00,                     |                  *
 2,                    svr,BL, 99.00,  0.00,                     |                  *
 2,                  svr,SHAP, 99.00,  0.00,                     |                  *
 2,                   svr,RLF, 99.00,  0.00,                     |                  *
 2,                   lgbm,BL, 99.00,  0.00,                     |                  *
 2,                 lgbm,SHAP, 99.00,  0.00,                     |                  *
 2,                  lgbm,RLF, 99.00,  0.00,                     |                  *
 2,                     bl,BL, 99.00,  0.00,                     |                  *
 2,                   bl,SHAP, 99.00,  0.00,                     |                  *
 2,                    bl,RLF, 99.00,  0.00,                     |                  *
