BL_time, 0.029
shap_time, 0.021
rlf_time, 0.316
Number of features selected by BL, 3
linear time, 0.949
rf time, 6.446
svr time, 0.963
ann time, 10.334
lgbm time, 2.843
bl time, 3.15
asIs time, 0.006
#
 0,                      asIs, -12.00, 56.00,          -------    |  *--------------  
#
 1,                 linear,BL, 95.00,  4.00,                     |                  *
 1,               linear,SHAP, 95.00,  4.00,                     |                  *
 1,                linear,RLF, 95.00,  4.00,                     |                  *
#
 2,                    ann,BL, 98.00,  4.00,                     |               -- *
 2,                  ann,SHAP, 98.00,  4.00,                     |               -- *
 2,                   ann,RLF, 98.00,  4.00,                     |               -- *
#
 3,                     rf,BL, 99.00,  1.00,                     |                  *
 3,                   rf,SHAP, 99.00,  1.00,                     |                  *
 3,                    rf,RLF, 99.00,  1.00,                     |                  *
 3,                    svr,BL, 99.00,  2.00,                     |                  *
 3,                  svr,SHAP, 99.00,  2.00,                     |                  *
 3,                   svr,RLF, 99.00,  2.00,                     |                  *
 3,                   lgbm,BL, 99.00,  2.00,                     |                  *
 3,                 lgbm,SHAP, 99.00,  2.00,                     |                  *
 3,                  lgbm,RLF, 99.00,  2.00,                     |                  *
 3,                     bl,BL, 99.00,  1.00,                     |                  *
 3,                   bl,SHAP, 99.00,  1.00,                     |                  *
 3,                    bl,RLF, 99.00,  1.00,                     |                  *
