BL_time, 0.052
shap_time, 0.046
rlf_time, 12.265
Number of features selected by BL, 5
linear time, 10.135
rf time, 28.774
svr time, 20.764
ann time, 25.35
lgbm time, 13.275
bl time, 13.554
asIs time, 0.141
#
 0,                      asIs, 53.00, 50.00,   ------------------|----       *-----  
#
 1,                    ann,BL, 76.00, 25.00,                     |            ---*   
#
 2,                   ann,RLF, 91.00, 15.00,                     |              -- * 
 2,                    bl,RLF, 91.00, 10.00,                     |                 * 
 2,                     bl,BL, 92.00, 10.00,                     |                 * 
 2,                   bl,SHAP, 93.00, 12.00,                     |                 * 
#
 3,                  svr,SHAP, 94.00,  0.00,                     |                  *
 3,               linear,SHAP, 96.00,  5.00,                     |                 -*
 3,                  ann,SHAP, 96.00,  6.00,                     |                  *
#
 4,                     rf,BL, 99.00,  6.00,                     |                 -*
 4,                    rf,RLF, 99.00,  6.00,                     |                 -*
 4,                    svr,BL, 99.00,  1.00,                     |                  *
 4,                   svr,RLF, 99.00,  1.00,                     |                  *
#
 5,                 linear,BL, 100.00,  0.00,                     |                  *
 5,                linear,RLF, 100.00,  0.00,                     |                  *
 5,                   rf,SHAP, 100.00,  0.00,                     |                  *
 5,                   lgbm,BL, 100.00,  2.00,                     |                  *
 5,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 5,                  lgbm,RLF, 100.00,  2.00,                     |                  *
