BL_time, 0.03
shap_time, 0.03
rlf_time, 2.504
Number of features selected by BL, 3
linear time, 3.011
rf time, 14.665
svr time, 3.373
ann time, 14.514
lgbm time, 5.694
bl time, 5.353
asIs time, 0.058
#
 0,                      asIs, 13.00, 18.00,     ----------------|-- * --------      
#
 1,                     bl,BL, 78.00,  8.00,                     |             *-    
 1,                   bl,SHAP, 78.00,  8.00,                     |             *-    
 1,                    bl,RLF, 78.00,  8.00,                     |             *-    
 1,                 linear,BL, 80.00,  7.00,                     |            -*--   
 1,               linear,SHAP, 80.00,  7.00,                     |            -*--   
 1,                linear,RLF, 80.00,  7.00,                     |            -*--   
 1,                  ann,SHAP, 80.00, 10.00,                     |           - *-    
 1,                   ann,RLF, 81.00,  8.00,                     |             *-    
 1,                    ann,BL, 82.00,  7.00,                     |            -*-    
#
 2,                    svr,BL, 84.00,  2.00,                     |             -*--- 
 2,                  svr,SHAP, 84.00,  2.00,                     |             -*--- 
 2,                   svr,RLF, 84.00,  2.00,                     |             -*--- 
 2,                   lgbm,BL, 84.00,  4.00,                     |             -*--- 
 2,                 lgbm,SHAP, 84.00,  4.00,                     |             -*--- 
 2,                  lgbm,RLF, 84.00,  4.00,                     |             -*--- 
#
 3,                     rf,BL, 87.00,  3.00,                     |             -*--- 
 3,                   rf,SHAP, 87.00,  3.00,                     |             -*--- 
 3,                    rf,RLF, 87.00,  3.00,                     |             -*--- 
