RLF_linear,RLF_rf,RLF_svr,RLF_ann,RLF_lgbm,RLF_bl,SHAP_linear,SHAP_rf,SHAP_svr,SHAP_ann,SHAP_lgbm,SHAP_bl,BL_linear,BL_rf,BL_svr,BL_ann,BL_lgbm,BL_bl,_asIs,data
 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 100.00, 95.00, 95.00, 95.00, 95.00, 95.00, 100.00, 95.00, 95.00, 40.00,Apache_AllMeasurements
 94.00, 81.00, 79.00, 77.00, 80.00, 81.00, 94.00, 81.00, 79.00, 78.00, 80.00, 81.00, 94.00, 81.00, 79.00, 77.00, 80.00, 79.00, -3.00,auto93
 76.00, 84.00, 85.00, 79.00, 87.00, 72.00, 85.00, 91.00, 85.00, 77.00, 90.00, 91.00, 93.00, 93.00, 92.00, 88.00, 92.00, 91.00, -4.00,billing10k
 58.00, 50.00, 52.00, 75.00, 48.00, 52.00, 63.00, 56.00, 52.00, 56.00, 57.00, 63.00, 61.00, 58.00, 45.00, 60.00, 59.00, 60.00, 15.00,coc1000
 88.00, 88.00, 83.00, 85.00, 83.00, 81.00, 99.00, 99.00, 99.00, 99.00, 99.00, 93.00, 99.00, 99.00, 99.00, 99.00, 99.00, 93.00, -3.00,FFM-125-25-0
 88.00, 88.00, 82.00, 82.00, 83.00, 70.00, 97.00, 100.00, 100.00, 97.00, 97.00, 93.00, 97.00, 93.00, 97.00, 90.00, 93.00, 93.00, -4.00,FFM-250-50-0
 36.00, 57.00, 49.00, 38.00, 66.00, 46.00, 36.00, 57.00, 49.00, 37.00, 66.00, 46.00, 36.00, 57.00, 49.00, 38.00, 66.00, 46.00, 31.00,healthCloseIsses12mths0001-hard
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, -29.00,healthCloseIsses12mths0011-easy
 95.00, 87.00, 96.00, 95.00, 95.00, 96.00, 100.00, 100.00, 100.00, 99.00, 100.00, 99.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 50.00,HSMGP_num
 71.00, 61.00, 59.00, 60.00, 52.00, 60.00, 71.00, 62.00, 53.00, 51.00, 53.00, 60.00, 70.00, 61.00, 60.00, 60.00, 48.00, 59.00, -6.00,nasa93dem
 93.00, 87.00, 88.00, 77.00, 87.00, 69.00, 93.00, 87.00, 88.00, 76.00, 90.00, 76.00, 93.00, 87.00, 88.00, 72.00, 87.00, 76.00,  4.00,pom3a
 87.00, 87.00, 83.00, 76.00, 85.00, 72.00, 88.00, 83.00, 87.00, 81.00, 87.00, 73.00, 83.00, 83.00, 87.00, 72.00, 87.00, 73.00, -7.00,pom3b
 78.00, 65.00, 67.00, 39.00, 68.00, 56.00, 79.00, 73.00, 79.00, 36.00, 68.00, 56.00, 78.00, 73.00, 78.00, 48.00, 68.00, 61.00, -6.00,pom3c
