BL_time, 0.069
shap_time, 0.074
rlf_time, 59.415
Number of features selected by BL, 8
linear time, 14.095
rf time, 21.051
svr time, 14.487
ann time, 27.337
lgbm time, 15.918
bl time, 16.525
asIs time, 0.162
#
 0,                      asIs, -19.00, 105.00, ---             *   |   -------------   
#
 1,                 lgbm,SHAP, 95.00,  2.00,                     |                  *
#
 2,                   rf,SHAP, 96.00,  2.00,                     |                 -*
 2,                    rf,RLF, 96.00,  1.00,                     |                 -*
 2,                    svr,BL, 96.00,  0.00,                     |                 -*
 2,                  svr,SHAP, 96.00,  1.00,                     |                 -*
 2,                   svr,RLF, 96.00,  1.00,                     |                  *
 2,                    ann,BL, 96.00,  4.00,                     |                  *
 2,                  ann,SHAP, 96.00,  1.00,                     |                 -*
 2,                   ann,RLF, 96.00,  1.00,                     |                 -*
 2,                  lgbm,RLF, 96.00,  4.00,                     |                  *
 2,                    bl,RLF, 96.00,  4.00,                     |               -- *
#
 3,                 linear,BL, 97.00,  3.00,                     |                  *
 3,               linear,SHAP, 97.00,  1.00,                     |                  *
 3,                linear,RLF, 97.00,  1.00,                     |                 -*
 3,                   bl,SHAP, 97.00,  2.00,                     |                 -*
#
 4,                     bl,BL, 98.00,  2.00,                     |                 -*
#
 5,                     rf,BL, 99.00,  2.00,                     |                  *
 5,                   lgbm,BL, 99.00,  2.00,                     |                  *
