BL_time, 0.061
shap_time, 0.048
rlf_time, 26.912
Number of features selected by BL, 6
linear time, 11.073
rf time, 20.4
svr time, 14.036
ann time, 23.957
lgbm time, 12.693
bl time, 14.391
asIs time, 0.106
#
 0,                      asIs, 50.00, 40.00,       --------------|--------------- *- 
#
 1,                    rf,RLF, 87.00,  7.00,                     |                 -*
#
 2,                linear,RLF, 95.00,  1.00,                     |                  *
 2,                   ann,RLF, 95.00,  1.00,                     |                  *
 2,                  lgbm,RLF, 95.00,  8.00,                     |                 -*
#
 3,                   svr,RLF, 96.00,  1.00,                     |                  *
 3,                    bl,RLF, 96.00,  5.00,                     |                  *
#
 4,                    ann,BL, 99.00,  1.00,                     |                  *
 4,                  ann,SHAP, 99.00,  1.00,                     |                  *
 4,                   bl,SHAP, 99.00,  1.00,                     |                  *
#
 5,                 linear,BL, 100.00,  0.00,                     |                  *
 5,               linear,SHAP, 100.00,  0.00,                     |                  *
 5,                     rf,BL, 100.00,  0.00,                     |                  *
 5,                   rf,SHAP, 100.00,  0.00,                     |                  *
 5,                    svr,BL, 100.00,  1.00,                     |                  *
 5,                  svr,SHAP, 100.00,  0.00,                     |                  *
 5,                   lgbm,BL, 100.00,  0.00,                     |                  *
 5,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 5,                     bl,BL, 100.00,  0.00,                     |                  *
