BL_time, 0.026
shap_time, 0.029
rlf_time, 2.252
Number of features selected by BL, 3
linear time, 2.778
rf time, 14.326
svr time, 3.086
ann time, 14.102
lgbm time, 5.411
bl time, 4.978
asIs time, 0.053
#
 0,                      asIs, 41.00, 44.00,               ------|--------    *--    
#
 1,                   ann,RLF, 88.00, 10.00,                     |                 * 
 1,                  ann,SHAP, 89.00,  8.00,                     |               --* 
#
 2,                    ann,BL, 91.00,  8.00,                     |                -* 
 2,                 linear,BL, 93.00,  7.00,                     |                 * 
 2,               linear,SHAP, 93.00,  7.00,                     |                 * 
 2,                linear,RLF, 93.00,  7.00,                     |                 * 
 2,                   lgbm,BL, 93.00,  6.00,                     |                 * 
 2,                 lgbm,SHAP, 93.00,  6.00,                     |                 * 
 2,                  lgbm,RLF, 93.00,  6.00,                     |                 * 
 2,                     bl,BL, 93.00,  4.00,                     |                -* 
 2,                   bl,SHAP, 93.00,  4.00,                     |                -* 
 2,                    bl,RLF, 93.00,  4.00,                     |                -* 
#
 3,                     rf,BL, 97.00,  5.00,                     |                  *
 3,                   rf,SHAP, 97.00,  5.00,                     |                  *
 3,                    rf,RLF, 97.00,  5.00,                     |                  *
 3,                    svr,BL, 97.00,  8.00,                     |                - *
 3,                  svr,SHAP, 97.00,  8.00,                     |                - *
 3,                   svr,RLF, 97.00,  8.00,                     |                - *
