BL_time, 0.05
shap_time, 0.045
rlf_time, 11.816
Number of features selected by BL, 5
linear time, 10.026
rf time, 28.816
svr time, 18.047
ann time, 25.912
lgbm time, 13.777
bl time, 14.511
asIs time, 0.162
#
 0,                      asIs, -14.00,  5.00,         ---- *------|---------------    
#
 1,                   rf,SHAP, 94.00,  2.00,                     |                -* 
 1,                  svr,SHAP, 94.00,  1.00,                     |                -* 
#
 2,                    svr,BL, 95.00,  1.00,                     |                -* 
 2,                   svr,RLF, 95.00,  1.00,                     |                -* 
 2,                   ann,RLF, 95.00,  2.00,                     |                -* 
#
 3,               linear,SHAP, 96.00,  6.00,                     |                -* 
 3,                     rf,BL, 96.00,  0.00,                     |                 * 
 3,                    rf,RLF, 96.00,  0.00,                     |                 * 
 3,                    ann,BL, 96.00,  2.00,                     |                 * 
 3,                  ann,SHAP, 96.00,  3.00,                     |                -* 
 3,                   lgbm,BL, 96.00,  2.00,                     |                -* 
 3,                 lgbm,SHAP, 96.00,  1.00,                     |                -* 
 3,                  lgbm,RLF, 96.00,  2.00,                     |                -* 
 3,                     bl,BL, 96.00,  1.00,                     |                -* 
 3,                   bl,SHAP, 96.00,  2.00,                     |                -* 
 3,                    bl,RLF, 96.00,  1.00,                     |                -* 
#
 4,                 linear,BL, 97.00,  5.00,                     |                -* 
 4,                linear,RLF, 97.00,  5.00,                     |                -* 
