BL_time, 0.042
shap_time, 0.067
rlf_time, 16.903
Number of features selected by BL, 5
linear time, 21.76
rf time, 91.491
svr time, 299.671
ann time, 35.817
lgbm time, 23.215
bl time, 23.936
asIs time, 0.403
#
 0,                      asIs, 31.00, 59.00,          --         |   *-              
#
 1,                 linear,BL, 36.00,  2.00,                     |     *             
 1,               linear,SHAP, 36.00,  2.00,                     |     *             
 1,                linear,RLF, 36.00,  2.00,                     |     *             
#
 2,                  ann,SHAP, 37.00,  3.00,                     |    -*             
 2,                    ann,BL, 38.00,  4.00,                     |     *-            
 2,                   ann,RLF, 38.00,  2.00,                     |     *             
#
 3,                     bl,BL, 46.00, 18.00,                     |    -  *  ----     
 3,                   bl,SHAP, 46.00, 13.00,                     |    -- * -----     
 3,                    bl,RLF, 46.00, 17.00,                     |    -- *  ------   
#
 4,                    svr,BL, 49.00,  9.00,                     |      - *-         
 4,                  svr,SHAP, 49.00,  9.00,                     |      - *-         
 4,                   svr,RLF, 49.00,  9.00,                     |      - *-         
#
 5,                     rf,BL, 57.00,  9.00,                     |       ---* ----   
 5,                   rf,SHAP, 57.00,  9.00,                     |       ---* ----   
 5,                    rf,RLF, 57.00,  9.00,                     |       ---* ----   
 5,                   lgbm,BL, 66.00, 22.00,                     |       --   *  -   
 5,                 lgbm,SHAP, 66.00, 22.00,                     |       --   *  -   
 5,                  lgbm,RLF, 66.00, 22.00,                     |       --   *  -   
