BL_time, 0.041
shap_time, 0.065
rlf_time, 15.877
Number of features selected by BL, 4
linear time, 20.864
rf time, 73.511
svr time, 2266.814
ann time, 36.931
lgbm time, 22.835
bl time, 23.106
asIs time, 0.408
#
 0,                      asIs, -29.00, 23.00,  *     -------------|------------------ 
#
 1,                 linear,BL, 100.00,  0.00,                     |                  *
 1,               linear,SHAP, 100.00,  0.00,                     |                  *
 1,                linear,RLF, 100.00,  0.00,                     |                  *
 1,                     rf,BL, 100.00,  0.00,                     |                  *
 1,                   rf,SHAP, 100.00,  0.00,                     |                  *
 1,                    rf,RLF, 100.00,  0.00,                     |                  *
 1,                    svr,BL, 100.00,  0.00,                     |                  *
 1,                  svr,SHAP, 100.00,  0.00,                     |                  *
 1,                   svr,RLF, 100.00,  0.00,                     |                  *
 1,                    ann,BL, 100.00,  0.00,                     |                  *
 1,                  ann,SHAP, 100.00,  0.00,                     |                  *
 1,                   ann,RLF, 100.00,  0.00,                     |                  *
 1,                   lgbm,BL, 100.00,  0.00,                     |                  *
 1,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 1,                  lgbm,RLF, 100.00,  0.00,                     |                  *
 1,                     bl,BL, 100.00,  0.00,                     |                  *
 1,                   bl,SHAP, 100.00,  0.00,                     |                  *
 1,                    bl,RLF, 100.00,  0.00,                     |                  *
