BL_time, 0.049
shap_time, 0.037
rlf_time, 11.952
Number of features selected by BL, 5
linear time, 10.002
rf time, 28.476
svr time, 23.531
ann time, 25.828
lgbm time, 13.656
bl time, 21.118
#
 0,                    ann,BL, 82.00,  7.00,                     |---------  *------ 
 0,                  ann,SHAP, 83.00, 22.00,                    -|---------   *    - 
#
 1,                    svr,BL, 95.00,  1.00,                     |            -----* 
 1,                   svr,RLF, 95.00,  1.00,                     |            -----* 
#
 2,                  svr,SHAP, 96.00,  1.00,                     |                 * 
#
 3,                 linear,BL, 97.00,  2.00,                     |                -* 
 3,               linear,SHAP, 97.00,  2.00,                     |                 * 
 3,                linear,RLF, 97.00,  2.00,                     |                -* 
#
 4,                     bl,BL, 98.00,  3.00,                     |                  *
 4,                   bl,SHAP, 98.00,  2.00,                     |                  *
 4,                    bl,RLF, 98.00,  3.00,                     |                  *
#
 5,                   ann,RLF, 99.00, 18.00,                     |        ---       *
#
 6,                     rf,BL, 100.00,  0.00,                     |                  *
 6,                   rf,SHAP, 100.00,  0.00,                     |                  *
 6,                    rf,RLF, 100.00,  0.00,                     |                  *
 6,                   lgbm,BL, 100.00,  0.00,                     |                 -*
 6,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 6,                  lgbm,RLF, 100.00,  0.00,                     |                 -*
