BL_time, 0.091
shap_time, 0.033
rlf_time, 14.601
Number of features selected by BL, 6
linear time, 6.772
rf time, 15.885
svr time, 7.275
ann time, 19.867
lgbm time, 10.028
bl time, 7.148
#
 0,                    bl,RLF, 76.00, 12.00,                   --|--------------* -  
#
 1,                   bl,SHAP, 85.00, 15.00,           ----------|--------------- *  
#
 2,                linear,RLF, 88.00,  0.00,                     |                -* 
 2,                    rf,RLF, 88.00,  0.00,                     |                -* 
 2,                   ann,RLF, 88.00,  3.00,                     |                -* 
 2,                  lgbm,RLF, 88.00,  1.00,                     |                 * 
#
 3,                   svr,RLF, 89.00,  3.00,                     |                -* 
#
 4,                  ann,SHAP, 93.00,  3.00,                     |                 * 
#
 5,               linear,SHAP, 94.00,  5.00,                     |                  *
 5,                   rf,SHAP, 94.00,  0.00,                     |                  *
 5,                    svr,BL, 94.00,  4.00,                     |                - *
 5,                  svr,SHAP, 94.00,  5.00,                     |                  *
 5,                    ann,BL, 94.00,  1.00,                     |                --*
 5,                 lgbm,SHAP, 94.00,  0.00,                     |                  *
#
 6,                 linear,BL, 98.00,  4.00,                     |                  *
 6,                     rf,BL, 98.00,  1.00,                     |                  *
 6,                   lgbm,BL, 98.00,  2.00,                     |                  *
 6,                     bl,BL, 98.00,  2.00,                     |                 -*
