BL_time, 0.025
shap_time, 0.02
rlf_time, 0.296
Number of features selected by BL, 3
linear time, 0.968
rf time, 6.03
svr time, 0.995
ann time, 10.247
lgbm time, 2.871
bl time, 2.147
#
 0,                 linear,BL,  5.00, 20.00,          ---  *  ---|----------         
 0,               linear,SHAP,  5.00, 20.00,          ---  *  ---|----------         
 0,                linear,RLF,  5.00, 20.00,          ---  *  ---|----------         
 0,                  ann,SHAP, 17.00, 58.00,         -------  *  |          -        
 0,                    svr,BL, -22.00, 104.00,  -    *             |          -------- 
 0,                  svr,SHAP, -22.00, 104.00,  -    *             |          -------- 
 0,                   svr,RLF, -22.00, 104.00,  -    *             |          -------- 
#
 1,                    ann,BL, 37.00, 73.00,       -----         |  *       --       
 1,                   ann,RLF, 37.00, 65.00,      ---------      |  *        -       
#
 2,                     rf,BL, 95.00,  2.00,                     |            -----* 
 2,                   rf,SHAP, 95.00,  2.00,                     |            -----* 
 2,                    rf,RLF, 95.00,  2.00,                     |            -----* 
 2,                   lgbm,BL, 95.00, 10.00,                     |             --  * 
 2,                 lgbm,SHAP, 95.00, 10.00,                     |             --  * 
 2,                  lgbm,RLF, 95.00, 10.00,                     |             --  * 
 2,                     bl,BL, 95.00, 21.00,                     |        ----     * 
 2,                   bl,SHAP, 95.00, 21.00,                     |        ----     * 
 2,                    bl,RLF, 95.00, 25.00,               ------|-----------      * 
