BL_time, 0.029
shap_time, 0.027
rlf_time, 2.416
Number of features selected by BL, 3
linear time, 3.007
rf time, 15.442
svr time, 3.551
ann time, 14.651
lgbm time, 5.949
bl time, 4.244
#
 0,                    ann,BL,  9.00,  7.00,       - * ----------|-----              
 0,                  ann,SHAP, 12.00,  7.00,       -- * ---      |                   
 0,                 linear,BL, 13.00, 20.00,      -   *    ------|------------       
 0,               linear,SHAP, 13.00, 20.00,      -   *    ------|------------       
 0,                linear,RLF, 13.00, 20.00,      -   *    ------|------------       
#
 1,                   ann,RLF, 17.00, 11.00,       --   * -----  |                   
#
 2,                     bl,BL, 46.00, 22.00,        ----------   |   *  -----        
 2,                   bl,SHAP, 46.00, 22.00,        ----------   |   *  -----        
 2,                    bl,RLF, 46.00, 22.00,        ----------   |   *  -----        
#
 3,                    svr,BL, 60.00,  8.00,                     |     --- *         
 3,                  svr,SHAP, 60.00,  8.00,                     |     --- *         
 3,                   svr,RLF, 60.00,  8.00,                     |     --- *         
#
 4,                   lgbm,BL, 67.00,  8.00,                     |            * ---- 
 4,                 lgbm,SHAP, 67.00,  8.00,                     |            * ---- 
 4,                  lgbm,RLF, 67.00,  8.00,                     |            * ---- 
 4,                     rf,BL, 68.00,  6.00,                     |         -  *----  
 4,                   rf,SHAP, 68.00,  6.00,                     |         -  *----  
 4,                    rf,RLF, 68.00,  6.00,                     |         -  *----  
