BL_time, 0.113
shap_time, 0.033
rlf_time, 7.477
Number of features selected by BL, 6
linear time, 5.458
rf time, 13.693
svr time, 5.525
ann time, 18.829
lgbm time, 9.545
bl time, 9.09
#
 0,                   bl,SHAP, 31.00, 29.00,         -----       * ---               
#
 1,                    bl,RLF, 39.00, 34.00,          ----       | * --------------  
#
 2,                     bl,BL, 51.00, 50.00,            ---------|-    *          -  
#
 3,                     rf,BL, 88.00,  1.00,                     |                -* 
 3,                    svr,BL, 88.00,  1.00,                     |                 * 
 3,                   svr,RLF, 88.00,  1.00,                     |                -* 
 3,                    ann,BL, 88.00,  0.00,                     |                -* 
 3,                  ann,SHAP, 88.00,  2.00,                     |                -* 
 3,                   ann,RLF, 88.00,  4.00,                     |                 * 
 3,                   lgbm,BL, 88.00,  2.00,                     |                 * 
 3,                  lgbm,RLF, 88.00,  1.00,                     |                -* 
#
 4,                 linear,BL, 89.00,  3.00,                     |                -* 
 4,               linear,SHAP, 89.00,  3.00,                     |                -* 
 4,                linear,RLF, 89.00,  1.00,                     |                -* 
 4,                   rf,SHAP, 89.00,  2.00,                     |                -* 
 4,                    rf,RLF, 89.00,  1.00,                     |                -* 
 4,                  svr,SHAP, 89.00,  1.00,                     |                 * 
 4,                 lgbm,SHAP, 89.00,  2.00,                     |                -* 
