BL time,	1.21
anova time,	0.003
shap time,	9.773
rlf time,	0.78
---------------------
Number of features selected by BL, 4
BL features,	cplx, pmat, time, rely
shap features,	acap, time, pcap, rely
anova features,	prec, flex, resl, team
rlf features,	plex, apex, pmat, time
---------------------
linear time, 3.777
rf time, 10.894
bl time, 4.291
#
 0,                    bl,RLF, 52.00, 13.00,        ---- *  -----|----------------   
 0,                   bl,SHAP, 53.00, 21.00,       ------ *    --|----------------   
 0,                  rf,anova, 54.00, 20.00,       ------ *    --|                   
 0,                  bl,anova, 60.00, 17.00,      -------   *----|----------------   
 0,                     rf,BL, 61.00, 12.00,       -------  *----|---------------    
 0,                    rf,RLF, 61.00, 13.00,             -  *----|---------------    
 0,                    rf,all, 61.00, 19.00,       -------  *  --|-------            
 0,                     bl,BL, 61.00, 18.00,        ------  *  --|---------------    
 0,                    bl,all, 61.00, 18.00,        ------  *  --|---------------    
#
 1,                linear,all, 62.00, 11.00,              --*  --|---------------    
 1,              linear,anova, 62.00, 15.00,       -------  * ---|---------------    
 1,                   rf,SHAP, 62.00, 18.00,       -------  *  --|---------------    
 1,                 linear,BL, 70.00, 19.00,       -------    *--|---------------    
 1,               linear,SHAP, 71.00, 11.00,             ---   *-|---------------    
 1,                linear,RLF, 71.00, 11.00,         -------   *-|---------------    
