BL time,	0.425
anova time,	0.003
shap time,	21.079
rlf time,	8.782
---------------------
Number of features selected by BL, 6
BL features,	ref_1, ref_5, no_mbtree, no_8x8dct, rc_lookahead_40, no_cabac
shap features,	ref_9, ref_1, no_mixed_refs, no_fast_pskip, no_mbtree, no_8x8dct
anova features,	ref_9, ref_1, no_asm, no_mixed_refs, rc_lookahead, no_fast_pskip
rlf features,	ref_9, ref_1, no_mixed_refs, no_fast_pskip, ref_5, no_mbtree
---------------------
linear time, 6.823
rf time, 19.298
svr time, 7.874
ann time, 26.784
lgbm time, 8.995
#
 0,              linear,anova, 99.00,  2.00,                     |  ----------   *   
 0,                  rf,anova, 99.00,  2.00,                     |  ----------   *   
 0,                    svr,BL, 99.00,  3.00,                     |  -------      *   
 0,                 ann,anova, 99.00,  2.00,                     |     -------   *   
#
 1,                 linear,BL, 100.00,  0.00,                     |               ---*
 1,               linear,SHAP, 100.00,  1.00,                     |            ---   *
 1,                linear,RLF, 100.00,  1.00,                     |            ---   *
 1,                linear,all, 100.00,  1.00,                     |            ---   *
 1,                     rf,BL, 100.00,  0.00,                     |               ---*
 1,                   rf,SHAP, 100.00,  0.00,                     |               ---*
 1,                    rf,RLF, 100.00,  1.00,                     |     ----------   *
 1,                    rf,all, 100.00,  0.00,                     |               ---*
 1,                  svr,SHAP, 100.00,  0.00,                     |               ---*
 1,                   svr,RLF, 100.00,  0.00,                     |               ---*
 1,                   svr,all, 100.00,  0.00,                     |               ---*
 1,                 svr,anova, 100.00,  2.00,                     |------------      *
 1,                    ann,BL, 100.00,  0.00,                     |               ---*
 1,                  ann,SHAP, 100.00,  0.00,                     |               ---*
 1,                   ann,RLF, 100.00,  1.00,                     |                  *
 1,                   ann,all, 100.00,  1.00,                     |            ---   *
 1,                   lgbm,BL, 100.00,  0.00,                     |                  *
 1,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 1,                  lgbm,RLF, 100.00,  1.00,                     |     ----------   *
 1,                  lgbm,all, 100.00,  0.00,                     |                  *
 1,                lgbm,anova, 100.00,  1.00,                     |     ----------   *
