BL time,	0.421
anova time,	0.002
shap time,	23.634
rlf time,	36.096
---------------------
Number of features selected by BL, 5
BL features,	Level, ProcessorCount, compressionLzo, compression, MaxRam
shap features,	ProcessorCount, compression, compressionLzo, compressionZpaq, Level
anova features,	ProcessorCount, compression, compressionBzip2, compressionLzo, compressionZpaq
rlf features,	compression, encryption, compressionBzip2, compressionGzip, compressionLzo
---------------------
linear time, 25.141
rf time, 53.149
svr time, 81.259
ann time, 62.061
lgbm time, 29.133
#
 0,                 linear,BL, 85.00,  4.00,               -   * |-                  
 0,                    rf,RLF, 85.00,  3.00,             ---   * |-                  
 0,                  svr,SHAP, 85.00,  4.00,             ---   * |-                  
 0,                   svr,RLF, 85.00,  2.00,             ----- * |---                
 0,                   ann,RLF, 85.00,  2.00,                ---* |-                  
 0,                linear,RLF, 86.00,  2.00,                ---  *-                  
 0,                 svr,anova, 86.00,  4.00,            ----     *-------------      
 0,                    ann,BL, 86.00,  4.00,             ---     *-                  
 0,                   ann,all, 86.00,  5.00,      ------------   *   --------------  
 0,                  lgbm,RLF, 86.00,  2.00,                ---  *---                
#
 1,               linear,SHAP, 87.00,  4.00,               -     |*                  
 1,                linear,all, 87.00,  4.00,                     |*                  
 1,              linear,anova, 87.00,  4.00,            ----     |*                  
 1,                    svr,BL, 87.00,  3.00,             ------  |*-------------     
 1,                  ann,SHAP, 87.00, 12.00,               ------|*                - 
 1,                 ann,anova, 87.00,  3.00,                ---  |*----------------  
#
 2,                   svr,all, 96.00,  0.00,                     |             *     
#
 3,                     rf,BL, 99.00,  1.00,                     |                 * 
 3,                  rf,anova, 99.00,  1.00,                     |                 * 
 3,                 lgbm,SHAP, 99.00,  1.00,                     |                 * 
 3,                lgbm,anova, 99.00,  1.00,                     |              ---* 
#
 4,                   rf,SHAP, 100.00,  1.00,                     |                  *
 4,                    rf,all, 100.00,  0.00,                     |                 -*
 4,                   lgbm,BL, 100.00,  1.00,                     |                  *
 4,                  lgbm,all, 100.00,  0.00,                     |                 -*
