BL time,	0.219
anova time,	0.001
shap time,	23.311
rlf time,	10.64
---------------------
Number of features selected by BL, 4
BL features,	Max_spout, Counters, Spout_wait, Netty_min_wait
shap features,	Max_spout, Counters, Spout_wait, Spouts
anova features,	Counters, Max_spout, Spout_wait, Spliters
rlf features,	Max_spout, Spouts, Counters, Spliters
---------------------
linear time, 10.008
rf time, 32.204
svr time, 19.161
ann time, 36.461
lgbm time, 13.036
#
 0,                 linear,BL, 100.00,  0.00,                     |                  *
 0,               linear,SHAP, 100.00,  0.00,                     |                  *
 0,                linear,RLF, 100.00,  1.00,                     |               ---*
 0,                linear,all, 100.00,  0.00,                     |                  *
 0,              linear,anova, 100.00,  0.00,                     |                  *
 0,                     rf,BL, 100.00,  0.00,                     |                  *
 0,                   rf,SHAP, 100.00,  0.00,                     |                  *
 0,                    rf,RLF, 100.00,  0.00,                     |               ---*
 0,                    rf,all, 100.00,  0.00,                     |                  *
 0,                  rf,anova, 100.00,  0.00,                     |                  *
 0,                    svr,BL, 100.00,  0.00,                     |                  *
 0,                  svr,SHAP, 100.00,  0.00,                     |                  *
 0,                   svr,RLF, 100.00,  0.00,                     |               ---*
 0,                   svr,all, 100.00,  0.00,                     |                  *
 0,                 svr,anova, 100.00,  0.00,                     |                  *
 0,                    ann,BL, 100.00,  0.00,                     |                  *
 0,                  ann,SHAP, 100.00,  0.00,                     |                  *
 0,                   ann,RLF, 100.00,  1.00,                  ---|------------------*
 0,                   ann,all, 100.00,  0.00,                     |                  *
 0,                 ann,anova, 100.00,  0.00,                     |                  *
 0,                   lgbm,BL, 100.00,  0.00,                     |                  *
 0,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 0,                  lgbm,RLF, 100.00,  8.00,                     |                  *
 0,                  lgbm,all, 100.00,  0.00,                     |                  *
 0,                lgbm,anova, 100.00,  0.00,                     |                  *
