BL time,	0.066
anova time,	0.002
shap time,	5.49
rlf time,	1.137
---------------------
Number of features selected by BL, 3
BL features,	Volume, Model, Clndrs
shap features,	Volume, Clndrs, Model
anova features,	Volume, Model, origin
rlf features,	Clndrs, Volume, Model
---------------------
linear time, 3.034
rf time, 18.984
svr time, 3.123
ann time, 20.288
lgbm time, 6.78
bl time, 7.873
asIs time, 0.029
#
 0,                      asIs, -3.00, 53.00,     -----         *-|------             
#
 1,                   ann,RLF, 74.00, 27.00,                     |      ----  *   -  
 1,                  ann,SHAP, 76.00, 19.00,                     |     ----   *----- 
 1,                   ann,all, 76.00,  5.00,                     |         ---*-     
 1,                    ann,BL, 77.00, 10.00,                     |       ----- *--   
 1,                 ann,anova, 78.00,  9.00,                     |          -- *--   
#
 2,                    svr,BL, 79.00, 26.00,                     |          -  *     
 2,                  svr,SHAP, 79.00, 26.00,                     |          -  *     
 2,                   svr,RLF, 79.00, 26.00,                     |          -  *     
 2,                  lgbm,all, 79.00, 15.00,                     |          ---*  -- 
 2,                lgbm,anova, 79.00, 15.00,                     |            -*  -- 
 2,                     bl,BL, 79.00, 17.00,                     |          -- *  -- 
 2,                    bl,all, 79.00, 17.00,                     |          -- *  -- 
#
 3,                   lgbm,BL, 80.00, 15.00,                     |          ---*  -- 
 3,                 lgbm,SHAP, 80.00, 15.00,                     |          ---*  -- 
 3,                  lgbm,RLF, 80.00, 15.00,                     |          ---*  -- 
 3,                     rf,BL, 81.00, 15.00,                     |             *  -- 
 3,                   rf,SHAP, 81.00, 15.00,                     |             *  -- 
 3,                    rf,RLF, 81.00, 15.00,                     |             *  -- 
 3,                    rf,all, 81.00, 15.00,                     |             *  -- 
 3,                  rf,anova, 81.00, 15.00,                     |             *  -- 
 3,                   svr,all, 81.00, 19.00,                     |          -- *     
 3,                 svr,anova, 81.00, 15.00,                     |          ---*     
 3,                   bl,SHAP, 81.00, 21.00,                     |        ---- *  -- 
 3,                    bl,RLF, 81.00, 21.00,                     |        ---- *  -- 
 3,                  bl,anova, 81.00, 19.00,                     |         --- *  -- 
#
 4,                 linear,BL, 94.00, 16.00,                     |                *- 
 4,               linear,SHAP, 94.00, 16.00,                     |                *- 
 4,                linear,RLF, 94.00, 16.00,                     |                *- 
 4,                linear,all, 94.00, 16.00,                     |                *- 
 4,              linear,anova, 94.00, 16.00,                     |                *- 
