BL time,	0.211
anova time,	0.002
shap time,	56.794
rlf time,	22.816
---------------------
Number of features selected by BL, 4
BL features,	Max_depth, Min_sample_leaves, Min_impurity_decrease, N_estimators
shap features,	criterion, N_estimators, Min_impurity_decrease, Min_sample_leaves
anova features,	criterion, N_estimators, Min_impurity_decrease, Max_depth
rlf features,	criterion, N_estimators, Min_sample_leaves, Max_depth
---------------------
linear time, 44.258
rf time, 179.839
svr time, 5085.485
ann time, 104.323
lgbm time, 48.266
#
 0,                 linear,BL, 100.00,  0.00,                     |                  *
 0,               linear,SHAP, 100.00,  0.00,                     |                  *
 0,                linear,RLF, 100.00,  0.00,                     |                  *
 0,                linear,all, 100.00,  0.00,                     |                  *
 0,              linear,anova, 100.00,  0.00,                     |                  *
 0,                     rf,BL, 100.00,  0.00, --------------------|------------------*
 0,                   rf,SHAP, 100.00,  0.00,                     |                  *
 0,                    rf,RLF, 100.00,  0.00,                     |                  *
 0,                    rf,all, 100.00,  0.00,                     |                  *
 0,                  rf,anova, 100.00,  0.00,                     |                  *
 0,                    svr,BL, 100.00,  0.00,                     |                  *
 0,                  svr,SHAP, 100.00,  0.00,                     |                  *
 0,                   svr,RLF, 100.00,  0.00,                     |                  *
 0,                   svr,all, 100.00,  0.00,                     |                  *
 0,                 svr,anova, 100.00,  0.00,                     |                  *
 0,                    ann,BL, 100.00,  0.00,                     |                  *
 0,                  ann,SHAP, 100.00,  0.00,                     |                  *
 0,                   ann,RLF, 100.00,  0.00,                     |                  *
 0,                   ann,all, 100.00,  0.00,                     |                  *
 0,                 ann,anova, 100.00,  0.00,                     |                  *
 0,                   lgbm,BL, 100.00,  0.00,                     |                  *
 0,                 lgbm,SHAP, 100.00,  0.00,                     |                  *
 0,                  lgbm,RLF, 100.00,  0.00,                     |                  *
 0,                  lgbm,all, 100.00,  0.00,                     |                  *
 0,                lgbm,anova, 100.00,  0.00,                     |                  *
