BL time,	0.053
anova time,	0.001
shap time,	18.795
rlf time,	0.316
---------------------
Number of features selected by BL, 2
BL features,	Max_spout, Counters
shap features,	Max_spout, Counters
anova features,	Max_spout, Counters
rlf features,	Spliters, Counters
---------------------
linear time, 0.977
rf time, 9.657
svr time, 1.013
ann time, 15.433
lgbm time, 2.697
#
 0,                   svr,RLF, 78.00, 23.00,                     |-  *               
 0,                  lgbm,RLF, 80.00, 26.00,                     |     *             
 0,                    rf,RLF, 93.00, 21.00,                     | --          *     
#
 1,                linear,RLF, 94.00,  1.00,                     |  ------------*--  
 1,                   ann,RLF, 94.00,  1.00,                     |  ------------*--  
#
 2,                linear,all, 95.00,  2.00,                     |              -*-  
 2,                  ann,SHAP, 97.00,  4.00,                     |                *  
 2,                   ann,all, 97.00,  4.00,                     |   -----------  *  
 2,                 ann,anova, 97.00,  4.00,                     |                *  
#
 3,                    ann,BL, 98.00,  2.00,                     |              -- * 
#
 4,                 linear,BL, 99.00,  2.00,                     |              -- * 
 4,               linear,SHAP, 99.00,  2.00,                     |              -- * 
 4,              linear,anova, 99.00,  2.00,                     |              -- * 
 4,                     rf,BL, 99.00,  0.00,                     |                 * 
 4,                   rf,SHAP, 99.00,  0.00,                     |                 * 
 4,                    rf,all, 99.00,  0.00,                     |                 * 
 4,                  rf,anova, 99.00,  0.00,                     |                 * 
 4,                    svr,BL, 99.00,  0.00,                     |                 * 
 4,                  svr,SHAP, 99.00,  0.00,                     |                 * 
 4,                   svr,all, 99.00,  0.00,                     |                 * 
 4,                 svr,anova, 99.00,  0.00,                     |                 * 
 4,                   lgbm,BL, 99.00,  0.00,                     |                 * 
 4,                 lgbm,SHAP, 99.00,  0.00,                     |                 * 
 4,                  lgbm,all, 99.00,  0.00,                     |                 * 
 4,                lgbm,anova, 99.00,  0.00,                     |                 * 
